ID	data_repository	class	order	family	genus	species	authorship	verbatim_identification	taxon_name	taxon_rank	sampling_date	latitude	longitude	coord_precision	Altitude	LocalityName	site_comments	habitat	access_points	country	MeasurementOrFact	SourceType	Rights	Input.into.DB.-.name
1078	GBIF	Ostracoda	Podocopida	Cyprididae	Cavernocypris	subterranea	Wolf, 1920	Cavernocypris subterranea (Wolf, 1920)	Cavernocypris subterranea (Wolf, 1920)	SPECIES	13/08/2010	44,33114	6,80202		2500	Restefond		Aquatic, Freshwater, Subsurface		France	stygophile	HUMAN_OBSERVATION	DERRIEN M. CAILLOT G (PNM)	DERRIEN M. CAILLOT G (PNM)
1079	GBIF	Ostracoda	Podocopida	Candonidae	Fabaeformiscandona	breuili	Paris, 1920	Fabaeformiscandona breuili (Paris, 1920)	Fabaeformiscandona breuili (Paris, 1920)	SPECIES	06/09/2010	44,20225	6,6355		1300	Haut Verdon 3 aval pont la Chaumie		Aquatic, Freshwater, Subsurface, Aquifer		France	stygobiont	HUMAN_OBSERVATION	CAILLOT G., UMR 5023 (UMR 5023 - PNM)	CAILLOT G., UMR 5023 (UMR 5023 - PNM)
1080	GBIF	Ostracoda	Podocopida	Cyprididae	Cavernocypris	subterranea	Wolf, 1920	Cavernocypris subterranea (Wolf, 1920)	Cavernocypris subterranea (Wolf, 1920)	SPECIES	21/07/2010	44,07094	6,95615		1510	Tailler		Aquatic, Freshwater, Subsurface		France	stygophile	HUMAN_OBSERVATION	MOLTO Jérôme, PANNETON M. (PNM)	MOLTO Jérôme, PANNETON M. (PNM)
1081	GBIF	Ostracoda	Podocopida	Cyprididae	Cavernocypris	subterranea	Wolf, 1920	Cavernocypris subterranea (Wolf, 1920)	Cavernocypris subterranea (Wolf, 1920)	SPECIES	09/08/2010	44,31144	6,72042		1825	Saume		Aquatic, Freshwater, Subsurface		France	stygophile	HUMAN_OBSERVATION	DERRIEN M. CAILLOT G (PNM)	DERRIEN M. CAILLOT G (PNM)
1082	GBIF	Ostracoda	Podocopida	Cyprididae	Cavernocypris	subterranea	Wolf, 1920	Cavernocypris subterranea (Wolf, 1920)	Cavernocypris subterranea (Wolf, 1920)	SPECIES	02/08/2010	44,24948	6,71192		2273	Meouilles		Aquatic, Freshwater, Subsurface		France	stygophile	HUMAN_OBSERVATION	DERRIEN M. CAILLOT G (PNM)	DERRIEN M. CAILLOT G (PNM)
1083	GBIF	Ostracoda	Podocopida	Cyprididae	Cavernocypris	subterranea	Wolf, 1920	Cavernocypris subterranea (Wolf, 1920)	Cavernocypris subterranea (Wolf, 1920)	SPECIES	11/08/2010	44,37332	6,86939		2350	Amont Lauzanier		Aquatic, Freshwater, Subsurface		France	stygophile	HUMAN_OBSERVATION	DERRIEN M. CAILLOT G (PNM)	DERRIEN M. CAILLOT G (PNM)
1084	GBIF	Ostracoda	Podocopida	Candonidae	Fabaeformiscandona	breuili	Paris, 1920	Fabaeformiscandona breuili (Paris, 1920)	Fabaeformiscandona breuili (Paris, 1920)	SPECIES	16/04/2009	44,11874	7,08986		660	Pont de Paule		Aquatic, Freshwater, Subsurface, Aquifer		France	stygobiont	HUMAN_OBSERVATION	GOULET Frédéric (PNM)	GOULET Frédéric (PNM)
1085	GBIF	Ostracoda	Podocopida	Cyprididae	Cavernocypris	subterranea	Wolf, 1920	Cavernocypris subterranea (Wolf, 1920)	Cavernocypris subterranea (Wolf, 1920)	SPECIES	21/07/2010	44,25226	6,77112		2040	Sanguiniaire		Aquatic, Freshwater, Subsurface		France	stygophile	HUMAN_OBSERVATION	MOLTO Jérôme, PANNETON M. (PNM)	MOLTO Jérôme, PANNETON M. (PNM)
1086	GBIF	Ostracoda	Podocopida	Cyprididae	Cavernocypris	subterranea	Wolf, 1920	Cavernocypris subterranea (Wolf, 1920)	Cavernocypris subterranea (Wolf, 1920)	SPECIES	21/07/2010	44,19963	6,74391		1350	Var		Aquatic, Freshwater, Subsurface		France	stygophile	HUMAN_OBSERVATION	MOLTO Jérôme, PANNETON M. (PNM)	MOLTO Jérôme, PANNETON M. (PNM)
1087	GBIF	Ostracoda	Podocopida	Candonidae	Fabaeformiscandona	breuili	Paris, 1920	Fabaeformiscandona breuili (Paris, 1920)	Fabaeformiscandona breuili (Paris, 1920)	SPECIES	21/07/2010	44,19963	6,74391		1350	Var		Aquatic, Freshwater, Subsurface, Aquifer		France	stygobiont	HUMAN_OBSERVATION	MOLTO Jérôme, PANNETON M. (PNM)	MOLTO Jérôme, PANNETON M. (PNM)
1088	GBIF	Ostracoda	Podocopida	Darwinulidae	Vestalenula	boteai	Danielopol, 1970	Vestalenula boteai (Danielopol, 1970)	Vestalenula boteai (Danielopol, 1970)	SPECIES	21/09/1966	48,66667	19,5					Aquatic, Freshwater, Subsurface, Aquifer		Slovakia	stygobiont	PRESERVED_SPECIMEN	Royal Belgian Institute of Natural Sciences	
1089	GBIF	Ostracoda	Podocopida	Candonidae	Trajancandona	natura	Karanovic, 1999	Trajancandona natura Karanovic, 1999	Trajancandona natura Karanovic, 1999	SPECIES		42,387683	18,920974		668	Cetinjska Cave, Old Montenegro		Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Macedonia	stygobiont	OCCURRENCE	Macedonian Ecological Society	
1090	GBIF	Ostracoda	Podocopida	Entocytheridae	Sphaeromicola	cebennica juberthiei	Danielopol, 1977	Sphaeromicola cebennica juberthiei Danielopol, 1977	Sphaeromicola cebennica juberthiei Danielopol, 1977	SUBSPECIES	01/01/1960	43,85161	3,69646			Résurgence de l'Avencas		Aquatic, Freshwater, Subsurface, Aquifer, Karst	Spring	France	stygobiont	HUMAN_OBSERVATION		JUBERTHIE-JUPEAU Lysiane (CNRS)
1091	GBIF	Ostracoda	Podocopida	Candonidae	Fabaeformiscandona	breuili	Paris, 1920	Fabaeformiscandona breuili (Paris, 1920)	Fabaeformiscandona breuili (Paris, 1920)	SPECIES	01/07/1954	42,1228	-6,7545			Moncabril		Aquatic, Freshwater, Subsurface, Aquifer	Spring	Spain	stygobiont	LIVING_SPECIMEN		
1092	GBIF	Ostracoda	Podocopida	Candonidae	Fabaeformiscandona	breuili	Paris, 1920	Fabaeformiscandona breuili (Paris, 1920)	Fabaeformiscandona breuili (Paris, 1920)	SPECIES	20/04/1915	43,485833	-6,036944			Pravia Cueva San Roman de Candamo		Aquatic, Freshwater, Subsurface, Aquifer, Karst	Spring	Spain	stygobiont	LIVING_SPECIMEN		
