"ID"	"SourceDatabase"	"OwnerOfSourceDatabase"	"TaxonID"	"TaxonClassis"	"TaxonOrdo"	"TaxonFamilia"	"TaxonGenus"	"TaxonSpecies"	"Author&Year"	"Species_source"	"Species_valid"	"TaxonRank"	"Lineage"	"Date"	"Surveyers/legit"	"LatitudeY"	"LongitudeX"	"GeoreferenceProtocol"	"Altitude"	"AltuitudeDetermination"	"LocalityID"	"LocalityName"	"LocalityMunicipality"	"LocalityProvince"	"LocalityRegion"	"LocalityCountry"	"HabitatType"	"HabitatType_syncronized"	"TaxonEcology"	"Reference"	"SourceType"	"Rights"	"Input.into.DB.-.name"
1	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I1, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,5888889	10,9069444	"WGS84"	295	"provided"		"Fumane Ca' del Gottolo spring"	"Manune"	"Lessinian Mountains"	"Lessinian Mountains"	"Italy"	"spring"	"Spring"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
2	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,573	10,899	"WGS84"				"Marano di Valpolicella, "	"Carazzole"	"Lessinian Mountains"		"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
3	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,5803333	10,9016667	"WGS84"				"Marano di Valpolicella"	"Carazzole"	"Lessinian Mountains"		"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
5	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,6298333	10,961	"WGS84"				"Sant'Anna D'Alfaedo, "	"Cescatto"	"Lessinian Mountains"		"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
6	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,5936667	10,9851667	"WGS84"				"Grezzana-Bellori, "	"Bellori"	"Lessinian Mountains"		"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
7	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,5925	10,9852778	"WGS84"				"Grezzana-Bellori, "	"Bellori"	"Lessinian Mountains"		"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
8	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,5331667	11,045	"WGS84"	425	"provided"		"Grezzana-La Colombara spring "	"Romagnano"	"Lessinian Mountains"	"Lessinian Mountains"	"Italy"	"spring"	"Spring"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
9	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,6174326	11,1990451	"WGS84"	640	"provided"		"Buso del Slonse (1425 V/VR), Ghieve"	"Crespadoro"	"Lessinian Mountains"	"Lessinian Mountains"	"Italy"	"spring"	"Spring"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
10	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,6132668	11,2143243	"WGS84"	565	"provided"		"Buso della Volpe (1426 V/VR), Covale"	"Crespadoro"	"Lessinian Mountains"	"Lessinian Mountains"	"Italy"	"spring"	"Spring"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
11	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,615	10,9055	"WGS84"				"Fumane-Molina, "	"Molina"	"Lessinian Mountains"		"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
12	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,589	10,9068333	"WGS84"				"Fumane, "	"Manune"	"Lessinian Mountains"		"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
13	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I3, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,4715833	11,202	"WGS84"	121	"provided"		"Cazzano di Tramigna spring"	"Cazzano Di Tramigna"	"Lessinian Mountains"	"Lessinian Mountains"	"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
14	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I3, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,4648	11,20585	"WGS84"	90	"provided"		"Stream Tramigna"	"Cazzano Di Tramigna"	"Lessinian Mountains"	"Lessinian Mountains"	"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
15	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I3, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,513	11,2361667	"WGS84"	167	"provided"		"San Giovanni Ilarione Loc. Veschi"	"San Giovanni Llarione"	"Lessinian Mountains"	"Lessinian Mountains"	"Italy"	"karstSaturated Zone  "	"Spring"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
16	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I3, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,4903333	11,2558333	"WGS84"				"S.Giovanni Ilarione Loc. Lauri, "	"Montecchia di Crosara"	"Lessinian Mountains"	"Lessinian Mountains"	"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
17	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. I4, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		45,465	11,0635667	"WGS84"				"Verona-Montorio Laghetto Squar, "	"Montorio"	"Lessinian Mountains"	"Lessinian Mountains"	"Italy"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Lessinian Mountains: Italy"	"D. Galassi F. Stoch: L'Aquilla: Italy"	"Marmonier P."
18	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,2773889	-3,5504167	"WGS84"				"Ason-near Ramales (park), Ason-near Ramales (park)"	"Ramales de la Victoria"	"Cantabria"	"Cantabria"	"Spain"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
19	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,0421667	-3,53375	"WGS84"				"Cueva La Mina"	"Cuestaedo"	"Cantabria"	"Cantabria"	"Spain"	"karstUnsaturated Zone  "	"Cave"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
20	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,3090556	-3,5305	"WGS84"				"Seldesuto, cueva de, Cueva de Seldesuto"	"Ruesga"	"Cantabria"	"Cantabria"	"Spain"	"karstUnsaturated Zone  "	"Cave"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
21	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,2613333	-3,5281944	"WGS84"				"Cullalvera, cueva, Cueva Cullalvera"	"Ruesga"	"Cantabria"	"Cantabria"	"Spain"	"karstUnsaturated Zone  "	"Cave"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
22	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,3211111	-3,5184444	"WGS84"				"Cuvio de la Re–ada, cueva de, Cuvio La Re–ada (0048 S)"	"San Miguel de Aras"	"Cantabria"	"Cantabria"	"Spain"	"karstUnsaturated Zone  "	"Cave"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
23	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,0352778	-3,5176667	"WGS84"				"Jaime, sima, Sima Jaime"	"Cuestaedo"	"Cantabria"	"Cantabria"	"Spain"	"karstUnsaturated Zone  "	"Cave"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
24	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,3187778	-3,51175	"WGS84"				"Comellante, cueva del, Cueva del Comellante"	"San Miguel de Aras"	"Cantabria"	"Cantabria"	"Spain"	"karstUnsaturated Zone  "	"Cave"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
25	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,2506389	-3,5080278	"WGS84"				"Renacimiento Rio Ason (Ason)"	"Ramales de la Victoria"	"Cantabria"	"Cantabria"	"Spain"	"Unconsolidated Sediment Phreatic Zone  "	"Interstitial - Phreatic Zone "	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
26	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,3178889	-3,506	"WGS84"				"Molino, cueva del, Cueva del Molino (0727 S)"	"San Miguel de Aras"	"Cantabria"	"Cantabria"	"Spain"	"karstUnsaturated Zone  "	"Cave"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
27	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,28225	-3,5054167	"WGS84"				"Rio Bustablado- Arredondo, Rio Bustablado-Arredondo"	"Mentera Barruelo"	"Cantabria"	"Cantabria"	"Spain"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
28	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,2090833	-3,4912778	"WGS84"				"Cueva de la Cascada de Ason"	"Rozas"	"Cantabria"	"Cantabria"	"Spain"	"karstUnsaturated Zone  "	"Cave"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
29	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,1868333	-3,4874722	"WGS84"				"Pt de la Sia, cueva, Cueva Pt de la Sia (STD 32)"	"Pilas"	"Cantabria"	"Cantabria"	"Spain"	"karstUnsaturated Zone  "	"Cave"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
30	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,2078889	-3,4871389	"WGS84"				"Rio Ason-Near ""nacimiento"" (Point 5)"""	"Rozas"	"Cantabria"	"Cantabria"	"Spain"	"Unconsolidated Sediment Phreatic Zone  "	"Interstitial - Phreatic Zone "	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
31	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,0336944	-3,4180833	"WGS84"				"Llanas, cueva de las, Cueva de las Llanas"	"Villalacre"	"Cantabria"	"Cantabria"	"Spain"	"karstUnsaturated Zone  "	"Cave"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
32	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,2910833	-3,5381667	"WGS84"				"Fuente del Molino, Fuente del Molino"	"Ogarrio"	"Cantabria"	"Cantabria"	"Spain"	"karstSaturated Zone  "	"Spring"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
33	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S2, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,2263333	-3,5086389	"WGS84"				"Fresca, cueva, Cueva Fresca"	"Rozas"	"Cantabria"	"Cantabria"	"Spain"	"karstUnsaturated Zone  "	"Cave"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
34	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S3, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,0416111	-3,5033056	"WGS84"				"Hoz-Hornillatorre, Arroyo de la, Arroyo de la Hoz-Hornillatorre"	"Villalazara"	"Cantabria"	"Cantabria"	"Spain"	"Hyporheic"	"Interstitial - Hyporheic zone"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
35	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S4, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,0441389	-3,5592222	"WGS84"				"Ojo Guarena, Palomera (Point: 9) Ojo Guarena"	"Espinosa de los Monteros"	"Cantabria"	"Cantabria"	"Spain"	"karstUnsaturated Zone  "	"Cave"	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
37	"European Groundwater Crustacea Database"	"Marmonier Pierre"		"Ostracoda"	"Podocopida"	"Candonidae"			"Kaufmann, 1900"	"Candonidae gen. n. sp. S4, 2006"	"Candoninae Kaufmann, 1900"	"FAMILY"		2006		43,2999167	-3,5055833	"WGS84"				"Rio Ason Rio Gandara (before Rasines)"	"Ramales de la Victoria"	"Cantabria"	"Cantabria"	"Spain"	"Unconsolidated Sediment Phreatic Zone  "	"Interstitial - Phreatic Zone "	"stygobiont"	"Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p."	"Pascalis project Database: Region: Cantabrica: Spain"	"A.I. Camacho. A. Valdecasas: Madrid: Spain"	"Marmonier P."
