ID	latitude	longitude	coord_precision
585	39.6078	3.01197	10-100km
1110	42.828611	12.936944	<100m
1112	44.1666667	28.6500000 	<10km
1120	44.6654	22.10474	<10km
1131	46.92521	22.53323	<10km
1132	58.1221766	-6.6355903	<10km
1154	46.05108	14.50513	<10km
1157	46.05108	14.50513	<10km
1158	46.05108	14.50513	<10km
1349	43.14083	16.72833	<10km
1366	46.05108	14.50513	<10km
1394	46.05108	14.50513	<10km
