ID	datasetName	informationWithheld	TaxonID	class	order	family	genus	species	scientificNameAuthorship	verbatimIdentification	scientificName	taxonRank	Lineage	dateIdentified	identifiedBy	decimalLatitude	decimalLongitude	geodeticDatum	elevationInMeters	verticalDatum	locationID	locality	municipality	stateProvince	region	country	locationRemarks	habitat	MeasurementOrFact	references	basisOfRecord	rightsHolder	Input.into.DB.-.name
814	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	Typhlocypris	eremita	(Vejdovsky, 1882)	Typhlocypris sp (cf eremita) 2004	Typhlocypris eremita (Vejdovsky, 1882)	SPECIES	cf.	2004	NA	45,569233	10,901767	WGS84	292	provided	NA	Gardane spring	San Rocco	Lessinian Mountains	Lessinian Mountains	Italy	karstSaturated Zone  	Spring	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
815	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	Typhlocypris	eremita	(Vejdovsky, 1882)	Typhlocypris sp (cf eremita) 2004	Typhlocypris eremita (Vejdovsky, 1882)	SPECIES	cf.	2004	NA	45,428333	11,308333	WGS84	31	calculated	NA	Monteforte D'Alpone Loc.Bosco, 	Sarmazza	Italy	NA	Italy	Unconsolidated Sediment Phreatic Zone  	Interstitial - Phreatic Zone 	stygobiont	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert - 2004. Statistical analyses and identification of indicators. European Project Report WP7 D8 (PASCALIS No EVK-CT-2001-00121), 156 p.	Pascalis project Database: Region: Lessinian Mountains: Italy	D. Galassi F. Stoch: L'Aquilla: Italy	Marmonier P.
816	European Groundwater Crustacea Database	Marmonier Pierre	NA	Ostracoda	Podocopida	Candonidae	Typhlocypris	eremita	(Vejdovsky, 1882)	Typhlocypris sp (cf eremita) 2013	Typhlocypris eremita (Vejdovsky, 1882)	SPECIES	cf.	2021	NA	50,26981	20,09136	WGS84	283	calculated	NA	Well in Prandocin	Prandocin	NA	NA	Poland	Well	Well	stygobiont	Pociecha A., Karpowicz M., Namiotko T., Dumnicka E. and Galas J. (2021). Diversity of groundwater Crustaceans in wells in various geologic formations of Southern Poland. Water, 13, 2193.	Literature: P. Marmonier	NA	Marmonier P.
1901	Austrian Ostracoda	Christian Griebler	NA	Ostracoda	Podocopida	Candonidae	Typhlocypris	eremita	(Vejdovsky, 1882)	Typhlocypris aff. eremita  (Vejdovský, 1882)	Typhlocypris eremita (Vejdovsky, 1882)	SPECIES	cf.	1984	NA	48,1635	16,545699	WGS84	150	provided	Lobau A	Lobau A	NA	NA	Vienna	Austria	hyporheic	Interstitial - Hyporheic zone	stygobiont	Danielopol DL (1984) Ecological investigations on the alluvial sediments of the Danube in the Vienna area — a phreatobiological project. SIL Proceedings, 1922-2010 22: 1755–1761.	Literature	Christian Griebler: Uni Vienna	Živa Vehovar
2015	Austrian Ostracoda	Christian Griebler	NA	Ostracoda	Podocopida	Candonidae	Typhlocypris	eremita	(Vejdovsky, 1882)	Typhlocypris sp. cf. eremita  (Vejdovský, 1882)	Typhlocypris eremita (Vejdovsky, 1882)	SPECIES	cf.	2001	NA	48,160873	16,539617	WGS84	152	provided	Lobau B	Lobau B	NA	NA	Vienna	Austria	well	Interstitial - Phreatic Zone 	stygobiont	Danielopol DL, Pospisil P (2001) Hidden biodiversity in the groundwater of the Danube flood plain national park (Austria). Biodiversity and Conservation 10: 1711–1721. 	Literature	Christian Griebler: Uni Vienna	Živa Vehovar
2044	Austrian Ostracoda	Christian Griebler	NA	Ostracoda	Podocopida	Candonidae	Typhlocypris	eremita	(Vejdovsky, 1882)	Pseudocandona aff. szoecsi  (Farkas, 1958)	Typhlocypris eremita (Vejdovsky, 1882)	SPECIES	cf.	1978	NA	48,174124	16,974901	WGS84	138	provided	Danube at confluence with March	Danube at confluence with March	NA	NA	Lower Austria	Austria	hyporheic	Interstitial - Hyporheic zone	stygobiont	Danielopol DL (1978) Über Herkunft und Morphologie der Süßwasser-hypogäischen Candoninae (Crustacea, Ostracoda). Sitzungsberichte der Akademie der Wissenschaften mathematisch-naturwissenschaftliche Klasse 187: 1–162.	Literature	Christian Griebler: Uni Vienna	Živa Vehovar
2058	Austrian Ostracoda	Christian Griebler	NA	Ostracoda	Podocopida	Candonidae	Candona	improvisa	Ostermeyer, 1937	Candona aff. improvisa  Ostermeyer, 1937	Candona improvisa Ostermeyer, 1937	SPECIES		2018	NA	47,565234	14,589295	WGS84	862	provided	Unknown Waterbody Nationalpark Gesäuse	Unknown Waterbody Nationalpark Gesäuse	NA	NA	Styria	Austria	unknown	NA	stygophile	Gerecke R, Meisch C, Stoch F (2018) I-3 Milben (Acari) und Kleinkrebse (Crustacea). Schriften des Nationalparks Gesäuse 15: 30–44.	Literature	Christian Griebler: Uni Vienna	Živa Vehovar
2064	Diversity of Groundwater Crustaceans in Wells in Various Geologic Formations of Southern Poland	Pociecha, Agnieszka, Maciej Karpowicz, Tadeusz Namiotko, Elżbieta Dumnicka, and Joanna Galas	NA	Ostracoda	Podocopida	Candonidae	Typhlocypris	eremita	(Vejdovsky, 1882)	Typhlocypris cf. eremita (Vejdovsky, 1882)	Typhlocypris eremita (Vejdovsky, 1882)	SPECIES	cf.	2021	NA	50,166825	19,700032	WGS84	438	calculated	NA	Szklary (Sz) wells; 50°10′ N; 19°42′ E, Jurassic limestone	NA	NA	NA	Poland	wells, 1.5 - 20 m	Well	stygobiont	"Pociecha, Agnieszka, Maciej Karpowicz, Tadeusz Namiotko, Elżbieta Dumnicka, and Joanna Galas. 2021. """"Diversity of Groundwater Crustaceans in Wells in Various Geologic Formations of Southern Poland"""" Water 13, no. 16: 2193. https://doi.org/10.3390/w13162193"	NA	NA	Živa Vehovar
2065	Diversity of Groundwater Crustaceans in Wells in Various Geologic Formations of Southern Poland	Pociecha, Agnieszka, Maciej Karpowicz, Tadeusz Namiotko, Elżbieta Dumnicka, and Joanna Galas	NA	Ostracoda	Podocopida	Candonidae	Typhlocypris	eremita	(Vejdovsky, 1882)	Typhlocypris cf. eremita (Vejdovsky, 1882)	Typhlocypris eremita (Vejdovsky, 1882)	SPECIES	cf.	2021	NA	50,250171	20,099979	WGS84	242	calculated	NA	Prandocin (Pr), 50°15′ N; 20°06′ E, Cretaceous marls	NA	NA	NA	Poland	wells 6–14 m	Well	stygobiont	"Pociecha, Agnieszka, Maciej Karpowicz, Tadeusz Namiotko, Elżbieta Dumnicka, and Joanna Galas. 2021. """"Diversity of Groundwater Crustaceans in Wells in Various Geologic Formations of Southern Poland"""" Water 13, no. 16: 2193. https://doi.org/10.3390/w13162193"	NA	NA	Živa Vehovar
