id	name	code	country_code	coordinates	municipality	province
1092	Phreatic Water Well Dettingen Unter Teck Germany	DETTINWE	DE		DETTINGEN UNTER TECK	BADEN WURTTEMBERG
1094	Source De Payrol Herault	PAYROLSP	FR		LAUROUX	HERAULT
1095	Phreatic Water Well Sussen Germany	SUSSENWE	DE		SUSSEN	BADEN WURTTEMBERG
1096	Quelle Near Waldbronn Germany	WALDBRSP	DE		WALDBRONN	BADEN WURTTEMBERG
1097	Artzegi Ko Goba Sierra De Gorbea	ARTZEGI	ES		CIGOITIA	ALAVA
1098	Cueva Mairuelegorreta	MAIRUELE	ES		CIGOITIA	ALAVA
1103	Grotte Haytzalde Saint Etienne De Baigorry	HAYTZA	FR		SAINT ETIENNE DE BAIGORRY	PYRENNEES ATLANTIQUES
1104	Grotte D Oyanbeltza Saint Michel	OYANBELT	FR		SAINT MICHEL	PYRENNEES ATLANTIQUES
1106	Grotte Zahasta	ZAHASTAC	FR		LECUMBERRY	PYRENEES ATLANTIQUES
1111	Source Ruisseau De Bondoire Saint Vincent Rive D Orl	VINCENT	FR		SAINT VINCENT RIVE D ORL	LOT
1113	Resurgence De Navaillan Navaillan	NAVAILLO	FR		NAVAILLAN	PYRENNEES ATLANTIQUES
1114	Source Pourrut Du Maa Moliets Et Maa	POURRUT	FR		DAX	LANDES
1115	Pont De Peyre Cauneille	PPEYRE	FR		CAUNEILLE	PYRENNEES ATLANTIQUES
1116	Le Luy De Bearn A Larreule Site 127	LARREURI	FR		LARREULE	PYRENEES ATLANTIQUES
1122	Exsurgence De La Grotte De Souerces 10 M En Aval De La Grotte Castelnau Tursan Landes France	SOUERCSP	FR		CASTELNAU TURSAN	LANDES
1124	Ruisseau Souterrain De La Grotte De Sare	SARERUCA	FR		SARE	PYRENEES ATLANTIQUES
1125	La Grotte A Lulu	GROTLULU	FR		SAINT PIERRE D IRUBE	PYRENNEES ATLANTIQUES
1126	Grotte Arrimblar	ARRIMBLA	FR		DONZACQ	LANDES
1127	Grotte De Menjot	MENJOTCA	FR		LAHOSSE	LANDES
1129	Grotte De Souercs	SOUERCCA	FR		CASTELNAU TURSAN	LANDES
1130	Affluent De La Leyre Juste Avant La Confluence	MIOSLEY	FR		MIOS	GIRONDE
1131	Stream Arotzarena Erreka	AROTZARE	ES		ZUGARRAMURDI	NAVARRE
1132	Estrigon River Cere Village Amont Pont Lieu Dit Pebarthe	ESTRIGON	FR		CERE	LANDES
1133	Riviere Grande Leyre Sabres: D44. Pont De Rotgee	LEYRERIV	FR		SABRES	LANDES
1134	Fuente Aizpara	AIZPARA	ES		ZUGARRAMURDI	NAVARRA
1135	Fuente Aizpara	AIZPARAF	ES		ZUGARRAMURDI	NAVARRA
1137	Rio Velez Vinuela	VELEZ	ES		VINUELA	MALAGA
1138	Rio De Mecina Mecina Bombaron	MECINA	ES		MECINA BOMBARON	GRANADA
1139	Hyporheic Zone Of Rio Alcolea At Cherin	HALCOLEA	ES		CHERIN	ALMERIA
1140	Rio Guadalmedina Aval De Casabermeja	GUADALME	ES		CASABERMEJA	MALAGA
1141	Rio Salia	RIOSALIA	ES		LA VINUELA	MALAGA
1142	Rio De Alcolea	ALCOLEA	ES		CHERIN	ALMERIA
1143	Rio Cadiar O Guadalfeo	CADIARRI	ES		BERCHULES	GRANADA
1144	Arroyo De Cuchillar	CUCHILLA	ES		PERIANA	MALAGA
1145	Rio De Lentegi Lentegi	LENTIGI	ES		LENTEGI	GRANADA
