Modif_taxonomy_FM	ID	order	family	subfamily	genus	subgenus	specificEpithet	infraspecificEpithet	scientificName	scientificNameAuthorship	acceptedNameUsage	namePublishedInYear	country	Locality	locationRemarks	habitat	decimalLongitude	decimalLatitude	geodeticDatum	Easting_EPSG3035	Northing_EPSG3035	Coord.Uncertainty	Coord.Validator	associatedReferences	PublicationYear	source	researchGroup	Habitat_Florian	Access_Florian	order_FM	family_FM	subfamily_FM	genus_FM	subgenus_FM	specificEpithet_FM	infraspecificEpithet_FM	scientificName_FM	FM_dwc_identificationQualifier	FM_identification_addendum	scientificNameAuthorship_FM	acceptedNameUsage_FM	namePublishedInYear_FM
	5362	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	hypnicola	NULL	Diacyclops hypnicola	(Gurney, 1927)	Diacyclops hypnicola (Gurney, 1927)	1927	Romania	Pestera Gura Ponicovei	cave	NULL	22.261	45.596	EPSG: 4326	5274113.358	2576860.786	0.1 km	Francesco Cerasoli	Plesa C. (1969) Fauna cavernicola acvatica din pesterile Calcaroase. In: Calinescu R., Biogeogr. Romaniei, 354-358	1969	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	hypnicola	NULL	Diacyclops hypnicola			(Gurney, 1927)	Diacyclops hypnicola (Gurney, 1927)	1927
	5363	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	hypnicola	NULL	Diacyclops hypnicola	(Gurney, 1927)	Diacyclops hypnicola (Gurney, 1927)	1927	Romania	Pestera Gura Ponicovei	karst: unsaturated/cave	Karst:saturated	22.2555	44.5953	EPSG: 4326	5291013.483	2466914.161	0.1 km	Emma Galmarini	"Botosaneanu L. (1971) Observations sur la faune aquatique hypogÇe des Monts du Banat (Roumanie). Trav. Inst. SpÇol. ""E. Racovitza"", 10: 123-166"	1971	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	hypnicola	NULL	Diacyclops hypnicola			(Gurney, 1927)	Diacyclops hypnicola (Gurney, 1927)	1927
	5364	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	hypnicola	NULL	Diacyclops hypnicola	(Gurney, 1927)	Diacyclops hypnicola (Gurney, 1927)	1927	Romania	Secu, 10 kn upstream Toplita and 16 kn downstream Borsec	hyporheic	Aquifer in unconsolidated sediments:hyporeic	25.456	46.91	EPSG: 4326	5489785.633	2766542.84	1 km	Emma Galmarini	"Plesa C., Pintea-Alb M., Salajan I., Wild F. (1965) Date noi asupra ecologiei si raspindirii geografice a ciclopidelor (Crustacea, Copepoda) in Romania. Lucr. Inst. speol. ""E. Racovitza"", 4: 141-154"	1965	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	hypnicola	NULL	Diacyclops hypnicola			(Gurney, 1927)	Diacyclops hypnicola (Gurney, 1927)	1927
	5365	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	hypnicola	NULL	Diacyclops hypnicola	(Gurney, 1927)	Diacyclops hypnicola (Gurney, 1927)	1927	Romania	Aries River basin	hyporheic	Aquifer in unconsolidated sediments:hyporeic	23.102	46.379	EPSG: 4326	5324104.534	2673882.264	Comm.Centr	Emma Galmarini	Moldovan O.T., Levei E., Marin C., Banciu M., Banciu H.L., Pavelescu C., Brad T., Cåmpean M., Meleg I.T., Iepure S., Povara I. (2011) Spatial distribution patterns of the hyporheic invertebrate communities in a polluted river in Romania. Hydrobiologia, 669: 63?82	2011	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	hypnicola	NULL	Diacyclops hypnicola			(Gurney, 1927)	Diacyclops hypnicola (Gurney, 1927)	1927
yes	5366	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	sp.	NULL	Diacyclops sp. group languidoides	NULL	Diacyclops sp. group languidoides 	NULL	Romania	Somesul Cald river, BatrÉna (site 2)	hyporheic	Aquifer in unconsolidated sediments:hyporeic	22.763	46.593	EPSG: 4326	5294527.994	2692842.072	1 km	Emma Galmarini	Meleg I.N., Cåmpean M., Pavelescu C. (2009) Hyporheic fauna from interstitial of the Somes river basin (Transylvania, Northwestern Romania). Trav. Inst. SpÇol. Æêmile RacovitzaØ, 48: 45?58	2009	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL		NULL	Diacyclops sp.		group languidoides	NULL	NULL	NULL
yes	5367	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	sp.	NULL	Diacyclops sp. group languidoides	NULL	Diacyclops sp. group languidoides 	NULL	Romania	Somesul Cald river, upstream Doda Pilii (site 3)	hyporheic	Aquifer in unconsolidated sediments:hyporeic	22.827	46.64	EPSG: 4326	5298487.616	2698843.501	1 km	Emma Galmarini	Meleg I.N., Cåmpean M., Pavelescu C. (2009) Hyporheic fauna from interstitial of the Somes river basin (Transylvania, Northwestern Romania). Trav. Inst. SpÇol. Æêmile RacovitzaØ, 48: 45?58	2009	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL		NULL	Diacyclops sp.		group languidoides	NULL	NULL	NULL
yes	5368	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	sp.	NULL	Diacyclops sp. group languidoides	NULL	Diacyclops sp. group languidoides 	NULL	Romania	Fintini in comuna Ponor	spring	NULL	23.154	45.537	EPSG: 4326	5343833.791	2582253.535	10 km	Emma Galmarini	"Plesa C., Pintea-Alb M., Salajan I., Wild F. (1965) Date noi asupra ecologiei si raspindirii geografice a ciclopidelor (Crustacea, Copepoda) in Romania. Lucr. Inst. speol. ""E. Racovitza"", 4: 141-154"	1965	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Spring	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL		NULL	Diacyclops sp.		group languidoides	NULL	NULL	NULL
yes	5369	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	sp.	NULL	Diacyclops sp. group languidoides	NULL	Diacyclops sp. group languidoides 	NULL	Romania	Spring Clinceanca, affluent Prahovei	spring	NULL	26.081	44.804	EPSG: 4326	5584379.838	2547095.475	1 km	Emma Galmarini	"Plesa C., Pintea-Alb M., Salajan I., Wild F. (1965) Date noi asupra ecologiei si raspindirii geografice a ciclopidelor (Crustacea, Copepoda) in Romania. Lucr. Inst. speol. ""E. Racovitza"", 4: 141-154"	1965	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Spring	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL		NULL	Diacyclops sp.		group languidoides	NULL	NULL	NULL
yes	5370	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	sp.	NULL	Diacyclops sp. group languidoides	NULL	Diacyclops sp. group languidoides 	NULL	Romania	Murusului, 0.5 km downstream Lunca Bradului	hyporheic	Aquifer in unconsolidated sediments:hyporeic	25.1062	46.957	EPSG: 4326	5462737.766	2766208.119	0.1 km	Emma Galmarini	"Plesa C., Pintea-Alb M., Salajan I., Wild F. (1965) Date noi asupra ecologiei si raspindirii geografice a ciclopidelor (Crustacea, Copepoda) in Romania. Lucr. Inst. speol. ""E. Racovitza"", 4: 141-154"	1965	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL		NULL	Diacyclops sp.		group languidoides	NULL	NULL	NULL
	5022	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	brevipes	NULL	Elaphoidella brevipes	Chappuis, 1937	Elaphoidella brevipes Chappuis, 1937	1937	North Macedonia	Ra?ce cave, Skoplje	unsaturated karst, dripping pools	Karst:saturated	21.247	42.021	EPSG: 4326	5251960.406	2171500.257	10 km	Mattia Di Cicco	Chappuis P.A. (1937) Weitere subterrane Harpacticoiden aus Jugoslawien. Bul. Soc. St. Cluj, 8: 503-532	1937	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	brevipes	NULL	Elaphoidella brevipes			Chappuis, 1937	Elaphoidella brevipes Chappuis, 1937	1937
