Modif_taxonomy_FM	ID	order	family	subfamily	genus	subgenus	specificEpithet	infraspecificEpithet	scientificName	scientificNameAuthorship	acceptedNameUsage	namePublishedInYear	country	Locality	locationRemarks	habitat	decimalLongitude	decimalLatitude	geodeticDatum	Easting_EPSG3035	Northing_EPSG3035	Coord.Uncertainty	Coord.Validator	associatedReferences	PublicationYear	source	researchGroup	Habitat_Florian	Access_Florian	order_FM	family_FM	subfamily_FM	genus_FM	subgenus_FM	specificEpithet_FM	infraspecificEpithet_FM	scientificName_FM	FM_dwc_identificationQualifier	FM_identification_addendum	scientificNameAuthorship_FM	acceptedNameUsage_FM	namePublishedInYear_FM
	1	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	clandestinus	NULL	Diacyclops clandestinus	(Kiefer, 1926)	Diacyclops clandestinus (Kiefer, 1926)	1926	Albania	Mati river, Milot, Lezhâs district	hyporheic	Aquifer in unconsolidated sediments:hyporeic	19.682	41.683	EPSG: 4326	5127741.484	2116319.023	2 km	Francesco Cerasoli	Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67	1997	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	clandestinus	NULL	Diacyclops clandestinus			(Kiefer, 1926)	Diacyclops clandestinus (Kiefer, 1926)	1926
	2	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	cosanus	NULL	Diacyclops cosanus	Stella & Salvatori, 1954	Diacyclops cosanus Stella & Salvatori, 1954	1954	Albania	Mati river, Milot, Lezhâs district	hyporheic	Aquifer in unconsolidated sediments:hyporeic	19.682	41.683	EPSG: 4326	5127741.484	2116319.023	2 km	Francesco Cerasoli	Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67	1997	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	cosanus	NULL	Diacyclops cosanus			Stella & Salvatori, 1954	Diacyclops cosanus Stella & Salvatori, 1954	1954
	3	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	paolae	NULL	Diacyclops paolae	Pesce & Galassi, 1987	Diacyclops paolae Pesce & Galassi, 1987	1987	Albania	Schkodra lake, sandy beach, 2 km drom Montenegro border	hyporheic habitat	NULL	19.358	42.221	EPSG: 4326	5094051.13	2172118.472	1 km	Francesco Cerasoli	Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67	1997	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone, Lake	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	paolae	NULL	Diacyclops paolae			Pesce & Galassi, 1987	Diacyclops paolae Pesce & Galassi, 1987	1987
yes	4	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	sp.	NULL	Diacyclops sp. group languidoides	NULL	NULL	NULL	Albania	Schkodra lake, sandy beach, 2 km drom Montenegro border	hyporheic habitat	NULL	19.358	42.221	EPSG: 4326	5094051.13	2172118.472	1 km	Francesco Cerasoli	Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67	1997	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone, Lake	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL		NULL	Diacyclops sp.		group languidoides	NULL	NULL	NULL
yes	5	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	sp.	NULL	Diacyclops sp. group languidoides	NULL	NULL	NULL	Albania	Krevenices cave, Dajá village, Scutari district	cave, subterranean lakes	Karst:saturated	19.406	41.993	EPSG: 4326	5100917.749	2147519.848	2 km	Francesco Cerasoli	Pandourski I. (1997) Cyclopides (Crustacea Copepoda) des eaux souterraines de l'Albanie. Acta Zoologica Bulgarica, 49: 64-67	1997	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave, Lake	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL		NULL	Diacyclops sp.		group languidoides	NULL	NULL	NULL
	116	Cyclopoida	Cyclopidae	Cyclopinae	Graeteriella	Graeteriella	unisetigera	NULL	Graeteriella (Graeteriella) unisetigera	(Graeter, 1908)	Graeteriella (Graeteriella) unisetigera (Graeter, 1908)	1908	Germany	Site scanned from map	NULL	NULL	7.784	48.051	EPSG: 4326	4155735.927	2773303.542	3 km	Mattia Di Cicco	Ronneberger D. (1975) Zur Kenntnis der Grundwasserfauna des Saale-Einzugsgebietes (Thuringen). Limnologica, 9(3): 323-419	1975	Literature: F. Malard	NULL	Aquatic, Freshwater, Subsurface		Cyclopoida	Cyclopidae	Cyclopinae	Graeteriella	Graeteriella	unisetigera	NULL	Graeteriella (Graeteriella) unisetigera			(Graeter, 1908)	Graeteriella (Graeteriella) unisetigera (Graeter, 1908)	1908
	120	Harpacticoida	Parastenocarididae	Parastenocaridinae	Horstkurtcaris	NULL	nolli	nolli	Horstkurtcaris nolli nolli	(Kiefer, 1938)	Horstkurtcaris nolli nolli (Kiefer, 1938)	1938	Austria	Site scanned from map	NULL	NULL	15.562	47.998	EPSG: 4326	4735854.507	2780557.27	3 km	Mattia Di Cicco	Ronneberger D. (1975) Zur Kenntnis der Grundwasserfauna des Saale-Einzugsgebietes (Thuringen). Limnologica, 9(3): 323-419	1975	Literature: F. Malard	NULL	Aquatic, Freshwater, Subsurface		Harpacticoida	Parastenocarididae	Parastenocaridinae	Horstkurtcaris	NULL	nolli	nolli	Horstkurtcaris nolli nolli			(Kiefer, 1938)	Horstkurtcaris nolli nolli (Kiefer, 1938)	1938
yes	8	Harpacticoida	Parastenocarididae	Parastenocaridinae	Parastenocaris	NULL	sp.	NULL	Parastenocaris sp.	NULL	NULL	NULL	Albania	Mati river, Milot, Lezhâs district	hyporheic habitat	Aquifer in unconsolidated sediments:hyporeic	19.682	41.683	EPSG: 4326	5127741.484	2116319.023	2 km	Francesco Cerasoli	Apostolov A. (2004) Harpacticoida (Crustacea: Copepoda) des eaux souterraines de l'Albanie. Historia naturalis bulgarica, 16: 69-72	2004	Literature: D. Galassi	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Harpacticoida	Parastenocarididae	Parastenocaridinae	Parastenocaris	NULL		NULL	Parastenocaris sp.			NULL	NULL	NULL
	9	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri	Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989	Austria	Wien-Umgebung, Wien, Lobau site B	unconsolidated	Unclear	16.539	48.164	EPSG: 4326	4806934.758	2804915.491	0.5 km	Francesco Cerasoli	Pospisil P. (1994) The groundwater fauna of a Danube aquifer in the Lobau wetland in Vienna, Austria. In Gibert J., Danielopol D.L. and Stanford J.A. (eds), Groundwater Ecology. Academic Press, New York, 347-366	1994	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri			Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989
	10	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri	Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989	Austria	Groundwater at Regelsbrunn	Groundwater	NULL	16.781	48.111	EPSG: 4326	4825388.18	2800667.597	1 km	Francesco Cerasoli	Gaviria S. (1998) Checklist and distribution of the free-living copepods (Arthropoda: Crustacea) from Austria. Ann. Naturhist. Mus. Wien, 100B: 539-594	1998	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer		Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri			Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989
	11	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri	Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989	Austria	Wien, Lobau wetland	unconsolidated (phreatic)	Unclear	16.565	48.16	EPSG: 4326	4808899.562	2804643.84	0.5 km	Francesco Cerasoli	Pospisil P. (1999) The composition of cyclopoid assemblage in ecologically different groundwater habitats of a Danube riverine wetland in Austria. Crustaceana, 72(8): 885-892	1999	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri			Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989
	12	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri	Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989	Austria	Wien, Lobau wetland	unconsolidated (phreatic)	Unclear	16.565	48.16	EPSG: 4326	4808899.562	2804643.84	0.5 km	Francesco Cerasoli	Pospisil P., Danielopol D. L. (2000) Diversity of groundwater dwelling Cyclopoida (Crustacea, Copepoda) in a Danube wetland in Austria. Vie Milieu, 50(3): 137-150	2000	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri			Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989
	13	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri	Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989	Austria	Wien, Lobau wetland	unconsolidated (phreatic)	Unclear	16.565	48.16	EPSG: 4326	4808899.562	2804643.84	0.5 km	Francesco Cerasoli	Pospisil P. (1989) Acanthocyclops gmaineri n. sp. (Crustacea, Copepoda) aus dem Grundwasser von Wien (Osterreich): Bemerkungen zur Zoogeographie und zur Sauerstoffsituation des Grundwassers am Fundort. Zool. Anz., 223(3/4): 220-230	1989	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	gmeineri	NULL	Acanthocyclops gmeineri			Pospisil, 1989	Acanthocyclops gmeineri Pospisil, 1989	1989
	14	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	kieferi	NULL	Acanthocyclops kieferi	(Chappuis, 1925)	Acanthocyclops kieferi (Chappuis, 1925)	1925	Austria	Groundwater at Regelsbrunn	Groundwater	NULL	16.781	48.111	EPSG: 4326	4825388.18	2800667.597	1 km	Francesco Cerasoli	Gaviria S. (1998) Checklist and distribution of the free-living copepods (Arthropoda: Crustacea) from Austria. Ann. Naturhist. Mus. Wien, 100B: 539-594	1998	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer		Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	kieferi	NULL	Acanthocyclops kieferi			(Chappuis, 1925)	Acanthocyclops kieferi (Chappuis, 1925)	1925
	15	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	kieferi	NULL	Acanthocyclops kieferi	(Chappuis, 1925)	Acanthocyclops kieferi (Chappuis, 1925)	1925	Austria	Wien, Lobau wetland	unconsolidated (phreatic)	Unclear	16.565	48.16	EPSG: 4326	4808899.562	2804643.84	0.5 km	Francesco Cerasoli	Pospisil P., Danielopol D. L. (2000) Diversity of groundwater dwelling Cyclopoida (Crustacea, Copepoda) in a Danube wetland in Austria. Vie Milieu, 50(3): 137-150	2000	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	kieferi	NULL	Acanthocyclops kieferi			(Chappuis, 1925)	Acanthocyclops kieferi (Chappuis, 1925)	1925
	16	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	rhenanus	NULL	Acanthocyclops rhenanus	Kiefer, 1936	Acanthocyclops rhenanus Kiefer, 1936	1936	Austria	Wien-Umgebung, Wien, Lobau site A	unconsolidated	Unclear	16.565	48.16	EPSG: 4326	4808899.562	2804643.84	0.5 km	Francesco Cerasoli	Pospisil P. (1994) The groundwater fauna of a Danube aquifer in the Lobau wetland in Vienna, Austria. In Gibert J., Danielopol D.L. and Stanford J.A. (eds), Groundwater Ecology. Academic Press, New York, 347-366	1994	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	rhenanus	NULL	Acanthocyclops rhenanus			Kiefer, 1936	Acanthocyclops rhenanus Kiefer, 1936	1936
	17	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	rhenanus	NULL	Acanthocyclops rhenanus	Kiefer, 1936	Acanthocyclops rhenanus Kiefer, 1936	1936	Austria	Groundwater near Apetlon, Seewinkel	Groundwater	NULL	16.822	47.756	EPSG: 4326	4831968.368	2761632.759	5 km	Francesco Cerasoli	Gaviria S. (1998) Checklist and distribution of the free-living copepods (Arthropoda: Crustacea) from Austria. Ann. Naturhist. Mus. Wien, 100B: 539-594	1998	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer		Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	rhenanus	NULL	Acanthocyclops rhenanus			Kiefer, 1936	Acanthocyclops rhenanus Kiefer, 1936	1936
	18	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Wien-Umgebung, Wien, Lobau site B	unconsolidated	Unclear	16.539	48.164	EPSG: 4326	4806934.758	2804915.491	0.5 km	Francesco Cerasoli	Pospisil P. (1994) The groundwater fauna of a Danube aquifer in the Lobau wetland in Vienna, Austria. In Gibert J., Danielopol D.L. and Stanford J.A. (eds), Groundwater Ecology. Academic Press, New York, 347-366	1994	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	19	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Wien-Umgebung, Wien, Lobau site C	unconsolidated	Unclear	16.565	48.16	EPSG: 4326	4808899.562	2804643.84	0.5 km	Francesco Cerasoli	Pospisil P. (1994) The groundwater fauna of a Danube aquifer in the Lobau wetland in Vienna, Austria. In Gibert J., Danielopol D.L. and Stanford J.A. (eds), Groundwater Ecology. Academic Press, New York, 347-366	1994	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	20	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	S. Peilsteiner Stra·e 13, Salzburg	Well	NULL	13.023	47.816	EPSG: 4326	4547454.144	2749339.557	0.1 km	Francesco Cerasoli	Priesel-Dichtl G. (1959) Die Grundwasserfauna im Salzburger Becken und im anschliessenden Alpenvorlans. Arch. Hydrobiol., 55(3): 281-370	1959	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	21	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Wien-Umgebung, Wien, Lobau site A	unconsolidated	Unclear	16.565	48.16	EPSG: 4326	4808899.562	2804643.84	0.5 km	Francesco Cerasoli	Pospisil P. (1994) The groundwater fauna of a Danube aquifer in the Lobau wetland in Vienna, Austria. In Gibert J., Danielopol D.L. and Stanford J.A. (eds), Groundwater Ecology. Academic Press, New York, 347-366	1994	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	22	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Taugl Valley	unconsolidated (phreatic)	Aquifer in unconsolidated sediments:saturated	13.139	47.661	EPSG: 4326	4556848.094	2732490.801	Catchment	Francesco Cerasoli	Pospisil P. (1999) Acanthocyclops sensitivus (Graeter & Chappuis, 1914) (Copepoda, Cyclopoida) in Austria. Annls. Limnol., 35(1): 49-55	1999	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment		Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	23	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Groundwater  of  Salzburg  basin,  Lower  Alp	Groundwater	NULL	12.993	47.945	EPSG: 4326	4544643.747	2763573.852	20 km	Francesco Cerasoli	Gaviria S. (1998) Checklist and distribution of the free-living copepods (Arthropoda: Crustacea) from Austria. Ann. Naturhist. Mus. Wien, 100B: 539-594	1998	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer		Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	24	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Hyporrehal of Lech river, Tyrol	Hyporheic	Aquifer in unconsolidated sediments:hyporeic	10.144	47.211	EPSG: 4326	4331917.405	2677502.351	Catchment	Francesco Cerasoli	Gaviria S. (1998) Checklist and distribution of the free-living copepods (Arthropoda: Crustacea) from Austria. Ann. Naturhist. Mus. Wien, 100B: 539-594	1998	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	25	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Danube backwaters between Greifenstein and Wien	Hyporheic	Aquifer in unconsolidated sediments:hyporeic	16.331	48.33	EPSG: 4326	4789979.838	2821963.257	5 km	Francesco Cerasoli	Gaviria S. (1998) Checklist and distribution of the free-living copepods (Arthropoda: Crustacea) from Austria. Ann. Naturhist. Mus. Wien, 100B: 539-594	1998	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	26	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Maria GrÅn, Prater, Wien	Well	NULL	16.441	48.195	EPSG: 4326	4799380.69	2807710.008	1 km	Francesco Cerasoli	Gaviria S. (1998) Checklist and distribution of the free-living copepods (Arthropoda: Crustacea) from Austria. Ann. Naturhist. Mus. Wien, 100B: 539-594	1998	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	27	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Lauterach, Bregenz district	Well	NULL	9.731	47.474	EPSG: 4326	4300708.546	2706746.722	2 km	Francesco Cerasoli	Gaviria S. (1998) Checklist and distribution of the free-living copepods (Arthropoda: Crustacea) from Austria. Ann. Naturhist. Mus. Wien, 100B: 539-594	1998	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	28	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Regelsbrunn	unconsolidated (phreatic)	Aquifer in unconsolidated sediments:saturated	16.781	48.111	EPSG: 4326	4825388.18	2800667.597	1 km	Francesco Cerasoli	Pospisil P. (1999) Acanthocyclops sensitivus (Graeter & Chappuis, 1914) (Copepoda, Cyclopoida) in Austria. Annls. Limnol., 35(1): 49-55	1999	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment		Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	29	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Lengfelden village, Salzburg district	unconsolidated (phreatic)	Aquifer in unconsolidated sediments:saturated	13.047	47.846	EPSG: 4326	4549117.26	2752744.754	0.5 km	Francesco Cerasoli	Pospisil P. (1999) Acanthocyclops sensitivus (Graeter & Chappuis, 1914) (Copepoda, Cyclopoida) in Austria. Annls. Limnol., 35(1): 49-55	1999	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment		Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	30	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Mondsee, Vîcklabruck district	unconsolidated (phreatic)	Aquifer in unconsolidated sediments:saturated	13.343	47.855	EPSG: 4326	4571217.135	2754701.625	3 km	Francesco Cerasoli	Pospisil P. (1999) Acanthocyclops sensitivus (Graeter & Chappuis, 1914) (Copepoda, Cyclopoida) in Austria. Annls. Limnol., 35(1): 49-55	1999	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment		Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	31	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Kleinzell, Lilienfeld district	spring	NULL	15.739	47.979	EPSG: 4326	4749186.016	2779460.671	1 km	Francesco Cerasoli	Pospisil P. (1999) Acanthocyclops sensitivus (Graeter & Chappuis, 1914) (Copepoda, Cyclopoida) in Austria. Annls. Limnol., 35(1): 49-55	1999	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Spring	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
	32	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914	Austria	Lauterach, Bregenz district	Well	NULL	9.731	47.474	EPSG: 4326	4300708.546	2706746.722	2 km	Francesco Cerasoli	Priesel-Dichtl G. (1959) Die Grundwasserfauna im Salzburger Becken und im anschliessenden Alpenvorlans. Arch. Hydrobiol., 55(3): 281-370	1959	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Well	Cyclopoida	Cyclopidae	Cyclopinae	Acanthocyclops	NULL	sensitivus	NULL	Acanthocyclops sensitivus			(Graeter & Chappuis, 1914)	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	1914
