associatedReferences
Pesce G.L., Maggi D. (1979) Cyclopides des eaux souterraines phr�atiques de la region des Marche, Italie centrale (Crustacea: Copepoda). Acta Mus. maced. sci. nat., Skopje, 15(8): 167-192
Stoch F., Pieri V., Sambugar B. Zullini A. (2009) La fauna delle acque sotterranee dell�Alta Val Secchia (Appennino Reggiano). Memorie dell'Istituto Italiano di Speleologia, s. II, 22: 145-164
Kiefer F. (1957) Graeteriella unisetiger (E. Graeter), ein f�r Italien neuer Cyclopide (Crust. Cop.) aus dem Grundwasser der Etsch. Mem. Mus. Civ. St. Nat. Verona, 6: 9-12
Pesce G.L., Maggi D., Tet� P. (1984) Stato attuale delle conoscenze sui Ciclopidi delle acque sotterranee della Puglia (Crustacea: Copepoda). Carsia Apula, 1: 71-92
Pesce G.L., Fusacchia G., Maggi D., Tet� P. (1978) Ricerche faunistiche in acque freatiche del Salento. Thalassia Salentina, 8: 3-51
Lindberg K. (1956) Cyclopides (Crustac�s Cop�podes) de la Sardaigne. Mem. Soc. Entom. Ital., 35(1): 71-79
Kiefer F. (1963) �ber einige Copepoda Harpacticoida aus Grabungen an norditalienischen Fliessgew�ssern. Mem. Mus. Civ. St. Nat. Verona, 11: 1-10
Chappuis P.A. (1954) Nouveaux harpacticoides de la nappe phr�atique de l'Adige. Mem. Mus. Civ. St. Nat. Verona, 4: 157-162
Sambugar B., Ferrarese U., Mart�nez-Ansemil E., Stoch F., Tomasin G., Zullini A. (2008) The groundwater fauna of Piani Eterni karstic area (Dolomiti Bellunesi National Park, Southern Limestone Alps, Italy) and its zoogeographic significance. Subterranean Biology, 6: 67-76
Kiefer F. (1938) Cyclopiden (Crust. Cop.) aus s�ditalienischen Brunnen und H�hlen. Zool. Anz., 123(1/2): 1-12
Chappuis P.A. (1938) Subterrane Harpacticoiden aus S�d-Italien. Bul. Soc. St. Cluj, 9: 153-183
Cottarelli V., Bruno M.C. (1993) Harpacticoida (Crustacea, Copepoda) from subterranean waters of Bue Marino cave, Sardinia, and St. Bart�l�my cave, Corsica, and description of three new species. Int. J. Speleol., 22: 97-119
Galassi D.M.P., De Laurentiis P., Fiasca B. (2011) Systematics of the Phyllognathopodidae (Copepoda, Harpacticoida). ZooKeys, 104: 1�65
Kiefer F. (1953) Eine kleine Cyclopiden-ausbeute aus norditalienischen subterranengew�ssern.. Mem. Mus. Civ. St. Nat. Verona, 4: 163-165
Kiefer F. (1931) Wenig bekannte und neue S�sswasser-Copepoden aus Italien. Zool. Jahrb. Abt. f. Syst., 61(5/6): 697-712
Stammer H.J. (1932) Die Fauna des Timavo. Ein Beitrag zur Kenntnis der H�hlengewasser, des S�ss- und Brackwassers im Karst. Zool. Jahrb. Abt. f. Syst., 63: 521-656
Stoch F. (2001) Primi risultati sull�uso degli organismi stigobi come indicatori della qualit� ambientale. Speleologia Veneta, 9: 157-163
Chappuis P.A. (1933) Cop�podes (premi�re s�rie), avec l'�numeration de tous les Cop�podes cavernicoles connus en 1930. Arch. Zool. exp. g�n., 76(1) (Biospeologica 59): 1-57
Bruno M.C., Cottarelli V., Hauffe H.C., Rossi C., Grasso R., Spena M.T. (2017) Morphological and molecular analyses of epikarstic Parastenocarididae (Copepoda: Harpacticoida) from two Sicilian caves, with description of a new Stammericaris Zootaxa 4350 (2): 251�283
Fiasca B., Di Lorenzo T., De Laurentiis P., Pantani C., Galassi D.M.P. (2004) Biodiversit� acquatica sotterranea nel Parco Nazionale del Gran Sasso-Monti della Laga: analisi taxocenotica (Crustacea, Copepoda) e proposte di conservazione. Studi Trent. Sci. Nat., Acta Biol., 81: 157-166
