rowID	CollCode	BibCit	InfWith	AssBy	VerbLoc	LocID	Lat	Long	LatLongP	CoordProto	CoordSyst	ElevMin	ElevMax	Country	CountryCod	Munici	Provin	Habita	Access	LocRem	EventID	EvenTtype	EventDate	VerbaDate	SamplEff	SamplMet	Fixative	Program	Target	CollByPerson	CollByGroup	EventRem	MeasDate	MeasByPerson	MeasByGroup	WaterTemp	WaterCond	MeasRemar	DateIden	IdenBy	IdenAttri	IdenVer	TaxCode	IdenQualif	TypeSta	IdenRem	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies	TaxRank	TaxStat	Authorship	ScName	TaxRem	MOTU	OccID	BasRec	RefBy	OrgQuan	OrgCount	OccRem	AssRef	Eyes	Pigment	Gene	AN	Isolate	Origin_tax_name	Collection	OriginalLink	DataSource
567	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	MOULIN DE CRAMANS LEYSSARD	CRAMANS	46,13556	5,476111	0,001	Georeferenced at site location	Decimal degrees WGS84	611	611	FRANCE		CHALLES LA MONTAGNE	AIN	ZONE SATUREE KARSTIQUE	GROTTE		CRAMANS_200808	Biotic sampling	2008-08-18			A VUE|SURBER	ALCOOL	Disentangling evolutionary and ecological processes shaping patterns of groundwater biodiversity	PROASELLUS	DOUADY C|MALARD F		A vue et Surber Aucun individu trouve A vue	2008-08-18	DOUADY C|MALARD F					01/09/2008	MALARD F	Morphologie	Proasellus cavaticus	Pcavaticus				Arthropoda	Malacostraca	Isopoda	Asellidae	Proasellus		cavaticus		Species	accepted	(Leydig, 1871)	Proasellus cavaticus (Leydig, 1871)		Proasellus cavaticus_295	PROASELLUS_CAVATICUS|CRAMANS_200808	Preserved specimen	MALARD F		4			Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
568	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	GROTTE DU CROCHET SUPERIEUR TORCIEU	CROCHET	45,91333	5,403611	0,001	Georeferenced at site location	Decimal degrees WGS84	461	461	FRANCE		TORCIEU	AIN	ZONE NON SATUREE KARSTIQUE	GROTTE		CROCHET_201307	Biotic sampling	2013-07-24			A VUE	ALCOOL	Disentangling evolutionary and ecological processes shaping patterns of groundwater biodiversity	PROASELLUS	MALARD F|DOUADY C|LEFEBVRE F			2013-07-24	MALARD F|DOUADY C|LEFEBVRE F					01/08/2013	MALARD F	Morphologie	Proasellus cavaticus	Pcavaticus				Arthropoda	Malacostraca	Isopoda	Asellidae	Proasellus		cavaticus		Species	accepted	(Leydig, 1871)	Proasellus cavaticus (Leydig, 1871)		Proasellus cavaticus_295	PROASELLUS_CAVATICUS|CROCHET_201307	Preserved specimen	MALARD F		4			Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
569	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	GROTTE ROCHE RENCRUEL	ROCHE	45,07167	5,4975	0,001	Georeferenced at site location	Decimal degrees WGS84	905	905	FRANCE		RENCRUEL	ISERE	ZONE NON SATUREE KARSTIQUE	GROTTE		ROCHE_200902	Biotic sampling	2009-02-07			A VUE	ALCOOL	Disentangling evolutionary and ecological processes shaping patterns of groundwater biodiversity	PROASELLUS	COLSON C			2009-02-07	COLSON C					01/02/2009	MALARD F	Morphologie	Proasellus cavaticus	Pcavaticus				Arthropoda	Malacostraca	Isopoda	Asellidae	Proasellus		cavaticus		Species	accepted	(Leydig, 1871)	Proasellus cavaticus (Leydig, 1871)		Proasellus cavaticus_295	PROASELLUS_CAVATICUS|ROCHE_200902	Preserved specimen	MALARD F		3			Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
570	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	SOURCE KR KRAUTLANDERGRABEN	ROSSFELD	48,3339	7,63116	0,001	Georeferenced at site location	Decimal degrees WGS84	155	155	FRANCE		ROSSFELD	BAS RHIN	AQUIFERE ALLUVIAL	SOURCE		ROSSFELD_200911	Biotic sampling	2009-11-22			SONDAGE BOU ROUCH	ALCOOL	Disentangling evolutionary and ecological processes shaping patterns of groundwater biodiversity	PROASELLUS	MALARD A|MALARD F			2009-11-22	MALARD A|MALARD F					01/02/2010	MALARD F	Morphologie	Proasellus cavaticus	Pcavaticus				Arthropoda	Malacostraca	Isopoda	Asellidae	Proasellus		cavaticus		Species	accepted	(Leydig, 1871)	Proasellus cavaticus (Leydig, 1871)		Proasellus cavaticus_295	PROASELLUS_CAVATICUS|ROSSFELD_200911	Preserved specimen	MALARD F		17			Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
571	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	GALERIE SOUTERRAINE KARSTIQUE DE SAUVE	SAUVEGAR	43,94056	3,95	0,001	Georeferenced at site location	Decimal degrees WGS84	97	97	FRANCE		SAUVE	GARD	ZONE SATUREE KARSTIQUE	SOURCE		SAUVEGAR_000000	Biotic sampling	2007-03-08			A VUE|FILTRAGE DERIVE|SURBER	ALCOOL	Disentangling evolutionary and ecological processes shaping patterns of groundwater biodiversity	PROASELLUS	DOUADY C|MALARD F		Filtrage de l'exurgence dans la grotte et filtrage exurgence exterieur a droite de la galerie sous le captage de la SDEI	2007-03-08	DOUADY C|MALARD F					01/01/2010	MALARD F	Morphologie	Proasellus cavaticus	Pcavaticus				Arthropoda	Malacostraca	Isopoda	Asellidae	Proasellus		cavaticus		Species	accepted	(Leydig, 1871)	Proasellus cavaticus (Leydig, 1871)		Proasellus cavaticus_295	PROASELLUS_CAVATICUS|SAUVEGAR_000000	Preserved specimen	MALARD F		53			Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
572	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	GROTTE DE THAIS	THAISGR	45,059093	5,248089	0,001	Georeferenced at site location	Decimal degrees WGS84	177	177	FRANCE		SAINT NAZAIRE EN ROYAN	DROME	AQUIFERE KARSTIQUE	GROTTE		THAISGR_201412	Biotic sampling	2014-12-03			SONDAGE BOU ROUCH	ALCOOL	Disentangling evolutionary and ecological processes shaping patterns of groundwater biodiversity	OLIGOCHAETA	CREUZE DES CHATELLIERS M|MEYSSONNIER M		Collecte dans une petite flaque (1.50m par 0.60m), juste à proximité du siphon	2014-12-03	CREUZE DES CHATELLIERS M|MEYSSONNIER M					01/01/2015	MALARD F	Morphologie	Proasellus cavaticus	Pcavaticus				Arthropoda	Malacostraca	Isopoda	Asellidae	Proasellus		cavaticus		Species	accepted	(Leydig, 1871)	Proasellus cavaticus (Leydig, 1871)		Proasellus cavaticus_295	PROASELLUS_CAVATICUS|THAISGR_201412	Preserved specimen	MALARD F		8			Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
573	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	AUSSERER WEISSENBACH WEISSENBACH AM ATTERSEE	WEISSEN1	47,78919	13,55226	0,001	Georeferenced at site location	Decimal degrees WGS84	485	485	AUSTRIA		MONDSEE	VOCKLABRUCK	ZONE HYPORHEIQUE	ZONE HYPORHEIQUE		WEISSEN1_201009	Biotic sampling	2010-09-10			SONDAGE BOU ROUCH	ALCOOL	Disentangling evolutionary and ecological processes shaping patterns of groundwater biodiversity	PROASELLUS	DOUADY C|MALARD F|MORVAN C|NIEDERREITER R			2010-09-10	DOUADY C|MALARD F|MORVAN C|NIEDERREITER R					01/11/2010	MALARD F	Morphologie	Proasellus cavaticus	Pcavaticus				Arthropoda	Malacostraca	Isopoda	Asellidae	Proasellus		cavaticus		Species	accepted	(Leydig, 1871)	Proasellus cavaticus (Leydig, 1871)		Proasellus cavaticus_295	PROASELLUS_CAVATICUS|WEISSEN1_201009	Preserved specimen	MALARD F		19			Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
574	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	GALERIE COMMUNALE DU NEBLON	NEBLONCO	50,413771	5,456941	0,001	Georeferenced at site location	Decimal degrees WGS84	199	199	BELGIUM		JENNERET	SPRIMONT	ZONE SATUREE KARSTIQUE	GROTTE		NEBLONCO_200807	Biotic sampling	2008-07-25			FILTRAGE DERIVE	ALCOOL	Disentangling evolutionary and ecological processes shaping patterns of groundwater biodiversity	PROASELLUS	DOUADY C|MALARD F|MATTHIJS S|MICHEL G			2008-07-25	DOUADY C|MALARD F|MATTHIJS S|MICHEL G					2008-07-28	MALARD F	Assignation moleculaire temporaire	Proasellus cavaticus	Pcavaticus				Arthropoda	Malacostraca	Isopoda	Asellidae	Proasellus		cavaticus		Species	accepted	(Leydig, 1871)	Proasellus cavaticus (Leydig, 1871)		Proasellus cavaticus_295	PROASELLUS_HERMALLENSIS|NEBLONCO_200807	Preserved specimen	MALARD F		20			Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
575	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	SOURCE WALDEGG WALDEGG	WALDEGG	46,71456	7,83211	0,001	Georeferenced at site location	Decimal degrees WGS84	1424	1424	SWITZERLAND		INTERLAKEN	BERNE	EAU DOUCE SOUTERRAINE	SOURCE		WALDEGG_201009	Biotic sampling	2010-09-12			SURBER	ALCOOL	Disentangling evolutionary and ecological processes shaping patterns of groundwater biodiversity	PROASELLUS	DOUADY C|MALARD F|MORVAN C			2010-09-12	DOUADY C|MALARD F|MORVAN C					01/11/2010	MALARD F	Assignation moleculaire temporaire	Proasellus cavaticus	Pcavaticus				Arthropoda	Malacostraca	Isopoda	Asellidae	Proasellus		cavaticus		Species	accepted	(Leydig, 1871)	Proasellus cavaticus (Leydig, 1871)		Proasellus cavaticus_295	PROASELLUS_SP|WALDEGG_201009	Preserved specimen	MALARD F		3			Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
576	World Asellidae Database	Saclier et al. 2023. The World Asellidae database and phylogeny: a collaborative backbone resource for comparative studies of subterranean life evolution. Molecular Ecology Resources, in press.	See https://gotit.univ-lyon1.fr	Florian Malard	KAISERBRUNNEN UNTERACH AM ATTERSEE	UNTERACH	47,7923	13,48452	0,001	Georeferenced at site location	Decimal degrees WGS84	493	493	AUSTRIA		MONDSEE	VOCKLABRUCK	EAU DOUCE SOUTERRAINE	SOURCE		UNTERACH_201009	Biotic sampling	2010-09-10			SURBER	ALCOOL	Disentangling evolutionary and ecological processes shaping patterns of groundwater biodiversity	PROASELLUS	DOUADY C|MORVAN C			2010-09-10	DOUADY C|MORVAN C					01/11/2010	MALARD F	Morphologie	Proasellus cavaticus	Pcavaticus				Arthropoda	Malacostraca	Isopoda	Asellidae	Proasellus		cavaticus		Species	accepted	(Leydig, 1871)	Proasellus cavaticus (Leydig, 1871)		Proasellus cavaticus_295	PROASELLUS_CAVATICUS|UNTERACH_201009	Preserved specimen	MALARD F		14			Eyeless	Unpigmented					UCBLZ collections: Zoological Collections of University Claude Bernard Lyon 1	https://gotit.univ-lyon1.fr/en/	The World Asellidae Database
