Data_Set	Person_DataEntry	Site_replicate	site_code	site_name	latitude	longitude	coord_precision	altitude	country	locality	site_comments	sampling_date	sampling_participants	sampling_methods	sampling_fixatives	sampling_target	habitat	access_points	sampling_comments	sampling_id	taxon_name	unclassified	taxon_rank	family	genus	specific_epithet	Subspecies	tax_id_confer	tax_id_addendum	identified_on_date	identified_by	verbatim_identification	specimen_quantity	content_description	type_status	occurrence_comments	occurrence_id	data_repository	collection	pub_DOI	pub_authors	pub_year	pub_title	pub_journal	pub_verbatim	gene	seq_specimen_identifier	accession_number	MOTU	sequence_id	seq_comments	
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	14		GLANBACH - Salzburg	47,8101	13,02193	<100m		AT		Precision Precise Province: Salzburg	09/09/2010					Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic zone	Collectors: Douady C, Malard F, Morvan C. & Niederreiter R.		Proasellus strouhali 		Species	Asellidae	Proasellus	strouhali							63				STYA1442	OnlineDatabase_WorldAsellidaeDatabase	PROASELLUS_STROUHALI|GLANBACH_201009													
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	14		GLANBACH - Salzburg	47,8101	13,02193	<100m		AT		Precision Precise Province: Salzburg	09/09/2010					Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic zone	Collectors: Douady C, Malard F, Morvan C. & Niederreiter R. Three individuals from this sampling event were sequenced, these are the rest.		Proasellus slavus 		Species	Asellidae	Proasellus	slavus							5				STYA1443	OnlineDatabase_WorldAsellidaeDatabase	PROASELLUS_SLAVUS|GLANBACH_201009													
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	14		GLANBACH - Salzburg	47,8101	13,02193	<100m		AT		Precision Precise Province: Salzburg	09/09/2010					Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic zone	Collectors: Douady C, Malard F, Morvan C. & Niederreiter R. One individual from this sampling event was sequenced, these are the rest.		Proasellus strouhali 		Species	Asellidae	Proasellus	strouhali							62				STYA1444	OnlineDatabase_WorldAsellidaeDatabase	PROASELLUS_SLAVUS|GLANBACH_201009													
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Tobias Gall-Andreici	15		GOLLING - Salzach (Austria: Salzburg)	47,58191	13,17079	<100m		AT		Precision Precise Province: Salzburg	 08/09/2010					Aquatic, Freshwater, Subsurface, Aquifer	Spring	Collectors: Douady C, Malard F. & Morvan C.		Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				STYA1354	Literature	WorldAsellidaeDatabase_PROASELLUS_SLAVUS|GOLLING_201009	10.1093/sysbio/syt015		2013			Morvan C, Malard F, Paradis E, Lefébure T, Konecny-Dupré L, Douady CJ (2013) Timetree of Aselloidea Reveals Species Diversification Dynamics in Groundwater. Systematic Biology 62: 512–522. https://doi.org/10.1093/sysbio/syt015 						GenBank_Accession_JQ921403(CO1)_KC 610198(16S)_KC610391(28S)_OR341633(AM4)	
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Tobias Gall-Andreici	15		GOLLING - Salzach (Austria: Salzburg)	47,58191	13,17079	<100m		AT		Precision Precise Province: Salzburg	 08/09/2010					Aquatic, Freshwater, Subsurface, Aquifer	Spring	Collectors: Douady C, Malard F. & Morvan C.		Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				STYA1355	Literature	WorldAsellidaeDatabase_PROASELLUS_SLAVUS|GOLLING_201009	10.1093/sysbio/syt015		2013			Morvan C, Malard F, Paradis E, Lefébure T, Konecny-Dupré L, Douady CJ (2013) Timetree of Aselloidea Reveals Species Diversification Dynamics in Groundwater. Systematic Biology 62: 512–522. https://doi.org/10.1093/sysbio/syt015 						GenBank_Accession_JQ921404(CO1)_KC610199(16S)	
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Tobias Gall-Andreici	15		GOLLING - Salzach (Austria: Salzburg)	47,58191	13,17079	<100m		AT		Precision Precise Province: Salzburg	 08/09/2010					Aquatic, Freshwater, Subsurface, Aquifer	Spring	Collectors: Douady C, Malard F. & Morvan C.		Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				STYA1356	Literature	WorldAsellidaeDatabase_PROASELLUS_SLAVUS|GOLLING_201009	10.1093/sysbio/syt015		2013			Morvan C, Malard F, Paradis E, Lefébure T, Konecny-Dupré L, Douady CJ (2013) Timetree of Aselloidea Reveals Species Diversification Dynamics in Groundwater. Systematic Biology 62: 512–522. https://doi.org/10.1093/sysbio/syt015 						GenBank_Accession_JQ921405(CO1)_KC610200(16S)	
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Tobias Gall-Andreici	15		GOLLING - Salzach (Austria: Salzburg)	47,58191	13,17079	<100m		AT		Precision Precise Province: Salzburg	 08/09/2010					Aquatic, Freshwater, Subsurface, Aquifer	Spring	Collectors: Douady C, Malard F. & Morvan C.		Proasellus strouhali 		Species	Asellidae	Proasellus	strouhali							1				STYA1361	Literature	WorldAsellidaeDatabase_PROASELLUS_SLAVUS|GOLLING_201009	10.1093/sysbio/syt015		2013			Morvan C, Malard F, Paradis E, Lefébure T, Konecny-Dupré L, Douady CJ (2013) Timetree of Aselloidea Reveals Species Diversification Dynamics in Groundwater. Systematic Biology 62: 512–522. https://doi.org/10.1093/sysbio/syt015 						GenBank_Accession_JQ921436(CO1)_JQ921814(16S)_JQ921993(28S)	
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	15		GOLLING - Salzach (Austria: Salzburg)	47,58191	13,17079	<100m		AT		Precision Precise Province: Salzburg	08/09/2010					Aquatic, Freshwater, Subsurface, Aquifer	Spring	Collectors: Douady C, Malard F. & Morvan C.		Proasellus strouhali 		Species	Asellidae	Proasellus	strouhali							116				STYA1445	OnlineDatabase_WorldAsellidaeDatabase	PROASELLUS_STROUHALI|GOLLING_201009													
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	15		GOLLING - Salzach (Austria: Salzburg)	47,58191	13,17079	<100m		AT		Precision Precise Province: Salzburg	08/09/2010					Aquatic, Freshwater, Subsurface, Aquifer	Spring	Collectors: Douady C, Malard F. & Morvan C. One individual from this sampling event was sequenced, these are the rest.		Proasellus strouhali 		Species	Asellidae	Proasellus	strouhali							115				STYA1451	OnlineDatabase_WorldAsellidaeDatabase	PROASELLUS_SLAVUS|GOLLING_201009													
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny			GWM - 843 - Russbach	48,18031	16,93453	<100m		AT		Precision Precise Province: Niederösterreich	12/07/2023					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				STYA1502	Project: Stygofauna Austriaca - University of Vienna														
