"ID","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","acceptedNameUsage","namePublishedInYear","country","Locality","locationRemarks","habitat","decimalLongitude","decimalLatitude","geodeticDatum","Easting_EPSG3035","Northing_EPSG3035","Coord.Uncertainty","Coord.Validator","associatedReferences","PublicationYear","source","researchGroup"
5177,"Harpacticoida","Parastenocarididae","Parastenocaridinae","Parastenocaris","NULL","glacialis","NULL","Parastenocaris glacialis","Noodt, 1954","Parastenocaris glacialis Noodt, 1954","1954","Norway","Scanned from map (F. Malard)","NULL","Unclear",14.066,65.267,"EPSG: 4326",4512098.958580885,4689852.471077913,"3 km","Mattia Di Cicco","Enckell P. H. (1969) Distribution and dispersal of Parastenocarididae (Copepoda) in northern Europe. Oikos, 20: 493-507",1969,"Literature: F. Stoch","NULL"
5178,"Harpacticoida","Parastenocarididae","Parastenocaridinae","Parastenocaris","NULL","glacialis","NULL","Parastenocaris glacialis","Noodt, 1954","Parastenocaris glacialis Noodt, 1954","1954","Norway","Scanned from map (F. Malard)","NULL","Unclear",23.652,69.666,"EPSG: 4326",4852968.916696236,5223363.242565123,"3 km","Mattia Di Cicco","Enckell P. H. (1969) Distribution and dispersal of Parastenocarididae (Copepoda) in northern Europe. Oikos, 20: 493-507",1969,"Literature: F. Stoch","NULL"
5703,"Harpacticoida","Parastenocarididae","Parastenocaridinae","Stammericaris","NULL","phreatica","NULL","Stammericaris phreatica","(Chappuis, 1936)","Stammericaris phreatica (Chappuis, 1936)","1936","Slovakia","Belá River - Liptovsky Hrádok","hyporheic habitat","Aquifer in unconsolidated sediments:hyporeic",19.768,49.063,"EPSG: 4326",5032628.5060834335,2930630.565547562,"5 km","Francesco Cerasoli","Sterba O. (1965) Plazivky (Copepoda, Harpacticoidea) Moravy a Slovenska. Acta Univ. Palack. Olomuc., Fac. Rer. Nat., Praha, 19: 203-313",1965,"Literature: F. Stoch","NULL"
5704,"Harpacticoida","Parastenocarididae","Parastenocaridinae","Stammericaris","NULL","phreatica","NULL","Stammericaris phreatica","(Chappuis, 1936)","Stammericaris phreatica (Chappuis, 1936)","1936","Slovakia","Váh River, upstream the confluence between Čierny and Biely Váh","hyporheic habitat","Aquifer in unconsolidated sediments:hyporeic",19.812,49.017,"EPSG: 4326",5036479.519170149,2925980.044469797,"5 km","Francesco Cerasoli","Sterba O. (1965) Plazivky (Copepoda, Harpacticoidea) Moravy a Slovenska. Acta Univ. Palack. Olomuc., Fac. Rer. Nat., Praha, 19: 203-313",1965,"Literature: F. Stoch","NULL"
4011,"Harpacticoida","Canthocamptidae","Canthocamptinae","Elaphoidella","NULL","elaphoides","elaphoides","Elaphoidella elaphoides elaphoides","(Chappuis, 1924)","Elaphoidella elaphoides elaphoides (Chappuis, 1924)","1924","Italy","Orcia river, three different sites across the river: 2) close to the locality Bagno Vignoni 43°01'33""N 0,11°35'87""E","hyporheic habitat","Aquifer in unconsolidated sediments:hyporeic",11.3593,42.9667,"EPSG: 4326",4432217.867098895,2207635.046732529,"0.1 km","Emma Galmarini","Berera R., Bianchini C., Pariciani L., Raschioni R., Cottarelli V. (2003) Studio della biocenosi interstiziale come possibile strumento per la valutazione della qualità ambientale del Fiume Orcia. Studi Trent. Sci. Nat. Acta Biol., 80: 101-105",2003,"Literature: D. Galassi","NULL"
5708,"Cyclopoida","Cyclopidae","Cyclopinae","Acanthocyclops","NULL","gordani","NULL","Acanthocyclops gordani","Petkovski, 1971","Acanthocyclops gordani Petkovski, 1971","1971","Slovenia","Osapska jama","karst groundwater/cave","Karst",13.8623,45.5726,"EPSG: 4326",4622765.45948012,2503390.2103202045,"0.1 km","Emma Galmarini","Brancelj A. (2001) Male of Moraria radovnae Brancelj, 1988 (Copepoda: Crustacea), and notes on endemic and rare copepod species from Slovenia and neighbouring countries. Hydrobiologia, 453/454: 513-524",2001,"Literature: F. Stoch","NULL"
5709,"Cyclopoida","Cyclopidae","Cyclopinae","Acanthocyclops","NULL","hispanicus","NULL","Acanthocyclops hispanicus","Kiefer, 1937","Acanthocyclops hispanicus Kiefer, 1937","1937","Slovenia","Borovni�?ica-phreat","phreatic (unconsolidated)","Aquifer in unconsolidated sediments:saturated",14.377,45.906,"EPSG: 4326",4660848.283271538,2542569.045654346,"0.1 km","Emma Galmarini","Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert (2004). Statistical analyses and identification of indicators. European Project 'PASCALIS' (EVK-CT-2001-00121), Report for WP7 - D8 Deliverable, 156 p.",2004,"Pascalis project Database: Region: Krim: Slovenia","B. Sket, M. Zagmajster: Ljubljana: Slovenia"
5710,"Cyclopoida","Cyclopidae","Cyclopinae","Acanthocyclops","NULL","hispanicus","NULL","Acanthocyclops hispanicus","Kiefer, 1937","Acanthocyclops hispanicus Kiefer, 1937","1937","Slovenia","I�ka-phreat3","phreatic (unconsolidated)","Aquifer in unconsolidated sediments:saturated",14.498,45.91,"EPSG: 4326",4670204.623003996,2543572.5692784553,"0.1 km","Emma Galmarini","Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert (2004). Statistical analyses and identification of indicators. European Project 'PASCALIS' (EVK-CT-2001-00121), Report for WP7 - D8 Deliverable, 156 p.",2004,"Pascalis project Database: Region: Krim: Slovenia","B. Sket, M. Zagmajster: Ljubljana: Slovenia"
5711,"Cyclopoida","Cyclopidae","Cyclopinae","Acanthocyclops","NULL","hispanicus","NULL","Acanthocyclops hispanicus","Kiefer, 1937","Acanthocyclops hispanicus Kiefer, 1937","1937","Slovenia","Dovjež, Ljubljansko polje","phreatic (unconsolidated)","Aquifer in unconsolidated sediments:saturated",14.49,46.115,"EPSG: 4326",4668267.300161691,2566260.4273970695,"5 km","Francesco Cerasoli","Sket B., Velkovrh F. (1981) Phreatische Fauna in Ljubljansko polje (Ljubljana-Ebene, Jugoslavien) - ihre ökologische Verteilung und zoogeographische Beziehungen. Int. J. Speleol., 11: 105-121",1981,"Literature: F. Stoch","NULL"
5712,"Cyclopoida","Cyclopidae","Cyclopinae","Acanthocyclops","NULL","hispanicus","NULL","Acanthocyclops hispanicus","Kiefer, 1937","Acanthocyclops hispanicus Kiefer, 1937","1937","Slovenia","Dovjež, Ljubljansko polje","hyporheic","Aquifer in unconsolidated sediments:hyporeic",14.49,46.115,"EPSG: 4326",4668267.300161691,2566260.4273970695,"5 km","Francesco Cerasoli","Petkovski T.K. (1984) Bemerkenswerte Cyclopiden (Crustacea, Copepoda) aus den subterranen Gewässern Sloweniens. Acta Mus. maced. sci. nat., Skopje, 17(2): 23-52",1984,"Literature: F. Stoch","NULL"
5713,"Cyclopoida","Cyclopidae","Cyclopinae","Acanthocyclops","NULL","hispanicus","NULL","Acanthocyclops hispanicus","Kiefer, 1937","Acanthocyclops hispanicus Kiefer, 1937","1937","Slovenia","Dovjež, Ljubljansko polje","hyporheic","Aquifer in unconsolidated sediments:hyporeic",14.49,46.115,"EPSG: 4326",4668267.300161691,2566260.4273970695,"5 km","Francesco Cerasoli","Petkovski T.K. (1984) Bemerkenswerte Cyclopiden (Crustacea, Copepoda) aus den subterranen Gewässern Sloweniens. Acta Mus. maced. sci. nat., Skopje, 17(2): 23-52",1984,"Literature: F. Stoch","NULL"
5714,"Cyclopoida","Cyclopidae","Cyclopinae","Acanthocyclops","NULL","hispanicus","NULL","Acanthocyclops hispanicus","Kiefer, 1937","Acanthocyclops hispanicus Kiefer, 1937","1937","Slovenia","Dovjež, Ljubljansko polje","hyporheic","Aquifer in unconsolidated sediments:hyporeic",14.49,46.115,"EPSG: 4326",4668267.300161691,2566260.4273970695,"5 km","Francesco Cerasoli","Sket B., Velkovrh F. (1981) Phreatische Fauna in Ljubljansko polje (Ljubljana-Ebene, Jugoslavien) - ihre ökologische Verteilung und zoogeographische Beziehungen. Int. J. Speleol., 11: 105-121",1981,"Literature: F. Stoch","NULL"
5715,"Cyclopoida","Cyclopidae","Cyclopinae","Acanthocyclops","NULL","hypogeus","NULL","Acanthocyclops hypogeus","(Kiefer, 1930)","Acanthocyclops hypogeus (Kiefer, 1930)","1930","Slovenia","�kocjanske Jame (Höhle von St. Canzian)","cave","NULL",13.9892,45.6652,"EPSG: 4326",4632143.44652715,2514178.3611873453,"0.1 km","Emma Galmarini","Kiefer F. (1930) Neue höhlenbewohnende Ruderfusskrebse. Zool. Anz., 87(9/10): 222-228",1930,"Literature: F. Stoch","NULL"
5716,"Cyclopoida","Cyclopidae","Cyclopinae","Acanthocyclops","NULL","hypogeus","NULL","Acanthocyclops hypogeus","(Kiefer, 1930)","Acanthocyclops hypogeus (Kiefer, 1930)","1930","Slovenia","�kocjanske jame","karst: usaturated zone","Karst:saturated",13.9892,45.6652,"EPSG: 4326",4632143.44652715,2514178.3611873453,"0.1 km","Emma Galmarini","Brancelj A. (2001) Male of Moraria radovnae Brancelj, 1988 (Copepoda: Crustacea), and notes on endemic and rare copepod species from Slovenia and neighbouring countries. Hydrobiologia, 453/454: 513-524",2001,"Literature: F. Stoch","NULL"
