CollCode;AssBy;VerbLoc;LocID;Lat;Long;LatLongP;Country;CountryCod;IdenVer;Phylum;Class;Order;Family;Genus;Species;TaxRank;TaxStat;OccID;BasRec;RefBy
World Asellidae Database;Florian Malard;CAVE ABOVE SPRING KRKA;KRKACAVE;45.88995;14.77136;0.001;SLOVENIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|KRKACAVE_197106;Literature;MALARD F
World Asellidae Database;Florian Malard;POMPAGE KUSIC (BELA CRKVA);KUSICPUM;44.87693;21.48178;0.100;SERBIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|KUSICPUM_197706;Literature;MALARD F
World Asellidae Database;Florian Malard;RVER NERA, KC JAME  (KUSIC) BELA CRKVA;KUSIKKC;44.87693;21.48178;0.100;SERBIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|KUSIKKC_197706;Literature;MALARD F
World Asellidae Database;Florian Malard;SPRINGS ALONG THE SAVA RIVER  (LAZE);LAZEZP;46.08776;14.69078;0.100;SLOVENIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|LAZEZP_197106;Literature;MALARD F
World Asellidae Database;Florian Malard;LIPSKA CAVE;LIPSKACA;42.37389;18.95389;0.001;MONTENEGRO;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|LIPSKACA_198807;Literature;MALARD F
World Asellidae Database;Florian Malard;CAVE MAJDAN, LUSCI PALANKA, SANSKI MOST;MAJDANCA;44.74427;16.43104;0.100;BOSNIA AND HERZEGOVINA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|MAJDANCA_196910;Literature;MALARD F
World Asellidae Database;Florian Malard;SPRING BELOW CAVE MEGARA MALDENOVICA, STAPARI, ULZICE;MALDENSP;43.86423;19.74108;0.100;SERBIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|MALDENSP_196907;Literature;MALARD F
World Asellidae Database;Florian Malard;CAVE MARKAROVA;MARKAROV;45.03333;15.25;0.100;CROATIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|MARKAROV_198508;Literature;MALARD F
World Asellidae Database;Florian Malard;MORINJ (SPRING);MORINJSP;42.48489;18.63523;0.100;MONTENEGRO;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|MORINJSP_197007;Literature;MALARD F
World Asellidae Database;Florian Malard;SOURCE MOSCENICE A MONFALCONE;MOSCENIC;45.80965;13.53286;0.100;ITALY;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|MOSCENIC_196703;Literature;MALARD F
