code	year	verbatim	authors	journal	title
Henry_Magniez_1968_Annal_Speleol_23_2_419_423	1968	Henry J.-P., Magniez G. 1968. Premier Aselle hypoge de Corse: Proasellus beroni n. sp. (Crustacea lsopoda). Annales de Speleologie, 23(2), 419-423.	Henry J.-P., Magniez G.	Annales de Speleologie	Premier Aselle hypoge de Corse: Proasellus beroni n. sp. (Crustacea lsopoda)
Henry_Magniez_1968_Ann_Speleol_23_3_633_639	1968	Henry J.-P., Magniez G. 1968. Description d un Aselle cavernicole d Espagne: Proasellus chappuisi n. sp. (Crustacea, Isopoda). Annales de Speleologie, 23(3), 633-639.	Henry J.-P., Magniez G.	Annales de Speleologie	Description d un Aselle cavernicole d Espagne: Proasellus chappuisi n. sp. (Crustacea, Isopoda)
Henry_Magniez_1968_Ann_Speleol_23_2_419_423	1968	Henry J.-P., Magniez G. 1968. Premier Aselle hypoge de Corse: Proasellus beroni n. sp. (Crustacea lsopoda). Annales de Speleologie, 23(2), 419-423.	Henry J.-P., Magniez G.	Annales de Speleologie	Premier Aselle hypoge de Corse: Proasellus beroni n. sp. (Crustacea lsopoda)
Henry_Magniez_1968_Ann_Speleol_23_2_409_417	1968	Henry J.-P., Magniez G. 1968. Un nouvel Aselle hypoge d Espagne: Proasellus cantabricus n.sp. (Crustace, Isopode). Annales de Speleologie, 23 (2), 409-417.	Henry J.-P., Magniez G.	Annales de Speleologie	Un nouvel Aselle hypoge d Espagne: Proasellus cantabricus n.sp. (Crustace, Isopode)
Henry_Magniez_1962_Hydrobiologia_29_334_338	1962	Henry J.-P., Magniez G. 1962. Presence d Asellus meridianus Racovitzai en Bourgogne. Hydrobiologia, 29, 334-338.	Henry J.-P., Magniez G.	Hydrobiologia	Presence d Asellus meridianus Racovitzai en Bourgogne
Henry_Magniez_1961_Bull_sci_Bourg_21_59_61	1961	Henry J.-P., Magniez G. 1961. Une nouvelle station d Asellus meridianus Racovitza en Bourgogne. Bulletin scientifique de Bourgogne, 21, 59-61.	Henry J.-P., Magniez G.	Bulletin scientifique de Bourgogne	Une nouvelle station d Asellus meridianus Racovitza en Bourgogne
Henry_2001_Unpublished_Data	2001	Henry J.-P. 2001. Unpublished data	Henry J.-P.	Unpublished data	
Henry_1980_Crustaceana_38_2_183_193	1980	Henry J.-P. 1980. Un asellide interstitiel de France: Proasellus rouchi n. sp. (Isopoda, Asellota) et considerations sur les especes de la lignee cavaticus. Crustaceana , 38(2), 183-193.	Henry J.-P.	Crustaceana	Un asellide interstitiel de France: Proasellus rouchi n. sp. (Isopoda, Asellota) et considerations sur les especes de la lignee cavaticus
Henry_1977_Rev_Suisse_Zool_84_2_481_490	1977	Henry J.-P. 1977. Sur un Asellide aberrant d une grotte de Suisse: Proasellus maleri n. sp. (Crustacea. Isopoda. Asetlota). Revue suisse de Zoologie, 84(2), 481-490.	Henry J.-P.	Revue suisse de Zoologie	Sur un Asellide aberrant d une grotte de Suisse: Proasellus maleri n. sp. (Crustacea. Isopoda. Asetlota)
Henry_1976_PhD_Thesis_Dijon_Fr	1976	Henry J.-P. 1976. Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota). PhD thesis, University of Dijon, Dijon, France.	Henry J.-P.	PhD thesis, University of Dijon, Dijon, France	Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota)
