code	year	verbatim	authors	journal	title
Norden_2020_Maryland_Entomo_7_4_1_16	2020	Norden A.W. 2020. Freshwater isopods (Crustacea: Isopoda: Asellidae) inhabiting upland vernal pools in Maryland. The Maryland Entomologist, 7(4), 2-16.	Norden A.W.	The Maryland Entomologist	Freshwater isopods (Crustacea: Isopoda: Asellidae) inhabiting upland vernal pools in Maryland
Henry_Magniez_1972_Sous_Plancher_10_3_45_48	1972	Henry J.P., Magniez G. 1972. Les asellides de la rivière souterraine de Beze. Sous le Plancher, 10(3), 45-48.	Henry J.P., Magniez G.	Sous le Plancher	Les asellides de la rivière souterraine de Beze
SmithsonianNMNH_2024	2024	Smithsonian Invertebrate Zoology Collections National Museum of Natural History	Smithsonian Invertebrate Zoology Collections National Museum of Natural History	Smithsonian Invertebrate Zoology Collections National Museum of Natural History	
Culver_et_al_2012_North_Nat_19_1_42	2012	Culver D.C., Holsinger J.R., Feller D.J. 2012. The fauna of seepage springs and other shallow subterranean habitats in the Mid-Atlantic Piedmont and Coastal Plain. Northeastern Naturalist 19, 1-42.	Culver D.C., Holsinger J.R., Feller D.J.	Northeastern Naturalist	The fauna of seepage springs and other shallow subterranean habitats in the Mid-Atlantic Piedmont and Coastal Plain
Bresson_1955_Arch_Zool_Exp_Gen_92_2_45_77	1955	Bresson J. 1955. Aselles de sources et de grottes d'Eurasie et d'Amérique du nord. Archives de Zoologie Experimentale et Generale, Notes et Revues, 92(2), 45-77.	Bresson J.	Archives de Zoologie Experimentale et Generale, Notes et Revues	Aselles de sources et de grottes d'Eurasie et d'Amérique du nord
Holsinger_et_al_2013_Banisteria_42_9_56	2013	Holsinger, John R., Culver David C., Hubbard, David A., Orndorff, William D., and Christopher S. Hobson. 2013. The invertebrate cave fauna of Virginia. Banisteria, 42: 9-56.	Holsinger, John R., Culver David C., Hubbard, David A., Orndorff, William D., and Christopher S. Hobson.	Banisteria	The invertebrate cave fauna of Virginia
Palatov_Chertoprud_2024_Invert_Zool_21_3_369_383	2024	Palatov D.M., Chertoprud E.M. 2024. A new stygobiotic species of the genus Proasellus Dudich, 1925 (Crustacea: Isopoda: Asellidae) from the Black Sea coast of the Caucasus, Russia. Invertebrate Zoology, 21(3), 369-383..	Palatov D.M., Chertoprud E.M.	Invertebrate Zoology	A new stygobiotic species of the genus Proasellus Dudich, 1925 (Crustacea: Isopoda: Asellidae) from the Black Sea coast of the Caucasus, Russia
Lewis_et_al_2025_Virginia_Mus_Nat_Hist_Suppl_1	2025	Lewis J.J., Lewis S.L., Orndorff W., Orndorff Z., Malard F., Konecny-Dupré L., Douady C. 2025. The Groundwater Isopods of Virginia. Supplement 1.	Lewis J.J., Lewis S.L., Orndorff W., Orndorff Z., Malard F., Konecny-Dupré L., Douady C.	Supplement	The Groundwater Isopods of Virginia
Lewis_et_al_2023_Virginia_Mus_Nat_Hist_Sp_Pub_19	2023	Lewis J.J., Lewis S.L., Orndorff W., Orndorff Z., Malard F., Konecny-Dupré L., Saclier N., Douady C. 2023. The Groundwater Isopods of Virginia (Isopoda: Asellidae And Cirolanidae). Virginia Museum of Natural History. Special Publications 19.	Lewis J.J., Lewis S.L., Orndorff W., Orndorff Z., Malard F., Konecny-Dupré L., Saclier N., Douady C.	Special Publications	The Groundwater Isopods of Virginia (Isopoda: Asellidae And Cirolanidae). Virginia Museum of Natural History
Saclier_et_al_2024_Mol_Ecol_Res_24_e13882	2024	Saclier, N., et al. 2024. A collaborative backbone resource for comparative studies of subterranean evolution: The World Asellidae database. Molecular Ecology Resources, 24, e13882.	Saclier, N., et al.	Molecular Ecology Resources, 24, e	A collaborative backbone resource for comparative studies of subterranean evolution: The World Asellidae database
Henry_1985_Spelunca_Mem_14_53_54	1985	Henry J.-P. 1985. Presence de l'isopode cavernicole Proasellus cavaticus en Seine-Maritime dans la zone intertidale. Spelunca Memoire 14, 53-54.	Henry J.-P.	Spelunca Memoire	Presence de l'isopode cavernicole Proasellus cavaticus en Seine-Maritime dans la zone intertidale
Stock_1984_Cah_Biol_Marine_25_93_106	1984	Stock J.H. 1984. Observations morphologiques et ecologiques sur une population intertidale de Melita pellucida Sars (Amphipoda) a Etretat (Seine-Maritime France). Cahiers de Biologie Marine, 25, 93-106.	Stock J.H.	Cahiers de Biologie Marine	Observations morphologiques et ecologiques sur une population intertidale de Melita pellucida Sars (Amphipoda) a Etretat (Seine-Maritime France)
Fueyo_et_al_2024_Ecol_Indic_158_111454	2024	Fueyo A., Sanchez O., Coya R., Carleos C., Escudero A., Cordon J., Fernandez S., Granero-Castro J., Yaisel J. Borrell Y.J. 2024. The influence of databases enrichment using local macroinvertebrate genetic references for metabarcoding based biodiversity studies in river monitoring. Ecological Indicators, 158, 111454.	Fueyo A., Sanchez O., Coya R., Carleos C., Escudero A., Cordon J., Fernandez S., Granero-Castro J., Yaisel J. Borrell Y.J.	Ecological Indicators	The influence of databases enrichment using local macroinvertebrate genetic references for metabarcoding based biodiversity studies in river monitoring
Marin_Palatov_2024_Water_16_1212	2024	Marin I.N., Palatov D.M. 2024. The diversity of freshwater stygobiotic crustaceans in the republic of North Ossetia–Alania provides new evidence for the existence of an ancient glacial refugium in the North Caucasus Region. Water, 16, 1212.	Marin I.N., Palatov D.M.	Water	The diversity of freshwater stygobiotic crustaceans in the republic of North Ossetia–Alania provides new evidence for the existence of an ancient glacial refugium in the North Caucasus Region
Henry_Magniez_1968_С_R_Acad_Sc_Paris_267_87_89	1968	Henry J.P., Magniez G. 1968. Sur la systematique et la biogeographie des Asellides. Comptes Rendus de l'Académie des Sciences de Paris, 267, 87-89	Henry J.P., Magniez G.	Comptes Rendus de l'Académie des Sciences de Paris	Sur la systematique et la biogeographie des Asellides
Marin_Sinelnikov_2024_Invert_Zool_21_1_81_93	2024	Marin I.N., Sinelnikov S.Y. 2024. A new species of the genus Proasellus (Crustacea: Isopoda: Asellidae) from the Abin River basin, with the preliminary data on the diversity of the genus in the southwestern foothills of the Russian Caucasus. Invertebrate Zoology, 21(1), 81-93.	Marin I.N., Sinelnikov S.Y.	Invertebrate Zoology	A new species of the genus Proasellus (Crustacea: Isopoda: Asellidae) from the Abin River basin, with the preliminary data on the diversity of the genus in the southwestern foothills of the Russian Caucasus
Gerecke_et_al_2005_Ferrantia_41_141	2005	Gerecke R., Stoch G., Meisch C., Schrankel I. 2005. Die Fauna der Quellen und des hyporheischen Interstitials in Luxemburg. Ferrantia, 41, 1-141. Travaux scientifiques du Musée national d'histoire naturelle Luxembourg.	Gerecke R., Stoch G., Meisch C., Schrankel I.	Travaux scientifiques du Musée national d'histoire naturelle Luxembourg	Die Fauna der Quellen und des hyporheischen Interstitials in Luxemburg. Ferrantia, 41, 1-141
Garcia_Vasquez_et_al_Zootaxa_2024_5410_4_533_544	2024	Garcia_Vasquez L., Rodriguez-Almaraz G.A., Barragan_Ramirez J.L., Quiroz_Martinez B. 2024. A new species of Caecidotea (Crustacea: Isopoda: Asellidae) from a well in the western slope of Mexico, with occurrence records of C. alvarezi. Zootaxa, 5410(4), 533-544.	Garcia_Vasquez L., Rodriguez-Almaraz G.A., Barragan_Ramirez J.L., Quiroz_Martinez B.	Zootaxa	A new species of Caecidotea (Crustacea: Isopoda: Asellidae) from a well in the western slope of Mexico, with occurrence records of C. alvarezi
Garcia_Vasquez_et_al_2019_Zootaxa_4624_3_377_386	2019	Garcia_Vasquez L., Rodriguez-Almaraz G., Pedraza-Lara C. 2019.Caecidotea camaxtli (Isopoda: Asellidae) a new species from the Tlaxcala valley, Mexico. Zootaxa_4624_3_377_386	Garcia_Vasquez L., Rodriguez-Almaraz G., Pedraza-Lara C.	Zootaxa	Caecidotea camaxtli (Isopoda: Asellidae) a new species from the Tlaxcala valley, Mexico. _4624_3_377_
Lagnika_et_al_2024_Subt_Biol_48_51_71	2024	Lagnika M., Kayo R.P.T., Sonet G., Flot J.-F., Martin P. 2024. DNA taxonomy reveals high species diversity among the stygobiont genus Metastenasellus (Crustacea, Isopoda) in African groundwater. Subterranean Biology, 48, 51-71.	Lagnika M., Kayo R.P.T., Sonet G., Flot J.-F., Martin P.	Subterranean Biology	DNA taxonomy reveals high species diversity among the stygobiont genus Metastenasellus (Crustacea, Isopoda) in African groundwater
Magniez_1973_Int_J_Speleol_5_31_48	1973	Magniez G. 1973. Les populations naturelles de Stenasellus virei Dolfus (Crustace Asellote troglobie). International Journal of Speleology, 5, 31-48.	Magniez G.	International Journal of Speleology	Les populations naturelles de Stenasellus virei Dolfus (Crustace Asellote troglobie)
Magniez_1999_Beaufortia_49_11_115_139	1999	Magniez G. 1999. Isopodes aselloïdes stygobies d Espagne, IV. Stenasellidae: taxonomie, histoire evolutive et biogeographie. Beaufortia, 49(11), 115-139.	Magniez G.	Beaufortia	Isopodes aselloïdes stygobies d Espagne, IV. Stenasellidae: taxonomie, histoire evolutive et biogeographie
Buresch_Gueorguiev_1962_Bull_Inst_Zool_Mus_Sofia_11_189_206	1962	Buresch Iv., Gueorguiev V. 1962. Contribution a la connaissance des especes du genre Stenasellus (Crustacea, Asellota) en Bulgarie avec description d une nouvelle espece. Bulletin de l Institut de Zoologie et Musee, Sofia, 11, 189-206.	Buresch Iv., Gueorguiev V.	Bulletin de l Institut de Zoologie et Musee, Sofia	Contribution a la connaissance des especes du genre Stenasellus (Crustacea, Asellota) en Bulgarie avec description d une nouvelle espece
Karaman_1948_Prirod_Istraz_Jugosl_Akad_Zagreb_24_45_50	1948	Karaman S. 1948. Uber die Manchenn von Stenasellus skopljensis Karaman. Prirod. Istraz. Jugosl. Akad. Zagreb, 24, 45-50.	Karaman S.	Zagreb	Uber die Manchenn von Stenasellus skopljensis Karaman. Prirod. Istraz. Jugosl. Akad
Palatov_et_al_2023_Invert_Zool_20_3_295_306	2023	Palatov D.M., Dzhamirzoev G.S., Sokolova A.M. 2023. A new stygobiotic species of the genus Proasellus (Crustacea: Isopoda: Asellidae) from South Dagestan, Russia. Invertebrate Zoology, 20(3), 295-306.	Palatov D.M., Dzhamirzoev G.S., Sokolova A.M.	Invertebrate Zoology	A new stygobiotic species of the genus Proasellus (Crustacea: Isopoda: Asellidae) from South Dagestan, Russia
Lewis_Sawicki_2016_Subt_Biol_17_121_132	2016	Lewis J.J., Sawicki T.R. 2016. Mexistenasellus floridensis sp. n., the first stenasellid isopod discovered from the Floridan aquifer (Crustacea, Isopoda, Asellota). Subterranean Biology, 17, 121-132.	Lewis J.J., Sawicki T.R.	Subterranean Biology	Mexistenasellus floridensis sp. n., the first stenasellid isopod discovered from the Floridan aquifer (Crustacea, Isopoda, Asellota)
Palatov_Sokolova_2021_Invert_Zool_18_4_481_501	2021	Palatov D.M., Sokolova A.M. 2021. Two new stygobiotic species of the genus Proasellus (Crustacea: Isopoda: Asellidae) from the North Caucasus. Invertebrate Zoology, 18(4), 481-501.	Palatov D.M., Sokolova A.M.	Invertebrate Zoology	Two new stygobiotic species of the genus Proasellus (Crustacea: Isopoda: Asellidae) from the North Caucasus
Turbanov_et_al_2016_Entomol_Rev_96_7_926_963	2016	Turbanov I.S., Palatov D.M., Golovatch S.I. 2016. The State of the art of biospeleology in Russia and other countries of the former Soviet Union: a review of the cave (endogean) invertebrate fauna. 1. Introduction - Crustacea. Entomological Review, 96(7), 926-963.	Turbanov I.S., Palatov D.M., Golovatch S.I.	Entomological Review	The State of the art of biospeleology in Russia and other countries of the former Soviet Union: a review of the cave (endogean) invertebrate fauna. 1. Introduction - Crustacea
Chertoprud_et_al_2016_Subt_Biol_18_49_70	2016	Chertoprud E.S., Palatov D.M., Borisov R.R., Marinskiy V.V., Bizin M.S., Dbar R.S. 2016. Distribution and a comparative analysis of the aquatic invertebrate fauna in caves of the western Caucasus.   Subterranean Biology, 18, 49-70.	Chertoprud E.S., Palatov D.M., Borisov R.R., Marinskiy V.V., Bizin M.S., Dbar R.S.	  Subterranean Biology	Distribution and a comparative analysis of the aquatic invertebrate fauna in caves of the western Caucasus
Palatov_Chertoprud_2020_Inland_Water_Biol_13_4_583_596	2020	Palatov D.M., Chertoprud M.V. 2020. Macrozoobenthos communities of springs and streams of the Eastern Circum-Pontic region. Inland Water Biology, 13(4), 583-596.	Palatov D.M., Chertoprud M.V.	Inland Water Biology	Macrozoobenthos communities of springs and streams of the Eastern Circum-Pontic region
Nkemegni_et_al_2015_Afr_J_Aq_Sci_40_4_393_401	2015	Nkemegni G.N.,Togouet S.H.Z., Fomena A., Pountougnigni O.F., Piscart C. 2015. Aquatic invertebrate fauna of wells in a tropical mountain climate, western Cameroon. African Journal of Aquatic Science, 40(4), 393-401.	Nkemegni G.N.,Togouet S.H.Z., Fomena A., Pountougnigni O.F., Piscart C.	African Journal of Aquatic Science	Aquatic invertebrate fauna of wells in a tropical mountain climate, western Cameroon
Boughrous_2007_PhD_Thesis_Marrakech_236	2007	Boughrous A.A. 2007. Biodiversite, ecologie et qualite des eaux souterraines de deux regions arides du Maroc : le Tafilalet et la region de Marrakech. PhD Thesis, Univ. Cadi Ayyad, Marrakech, Morrocco. 236 p.	Boughrous A.A.	Cadi Ayyad, Marrakech, Morrocco	Biodiversite, ecologie et qualite des eaux souterraines de deux regions arides du Maroc : le Tafilalet et la region de Marrakech. PhD Thesis, Univ. . 236 p.
Boutin_Idbennacer_1989_Rev_Sci_Eau_2_4_891_904	1989	Boutin C., Idbennacer B. 1989. Faune stygobie du Sud de l'Anti-Atlas marocain premiers resultats. Revue des sciences de l'eau - Journal of Water Science, 2(4), 891–904.	Boutin C., Idbennacer B.	Revue des sciences de l'eau - Journal of Water Science	Faune stygobie du Sud de l'Anti-Atlas marocain premiers resultats. , 2(4), 891–
Magniez_1966_Int_J_Speleol_2_1_173_190	1966	Magniez, G. 1966. Contribution a la systematique des Stenasellinae d'Afrique (Crustaces, Asellotes). International Journal of Speleology, 2(1), 173-190.	Magniez, G.	International Journal of Speleology	Contribution a la systematique des Stenasellinae d'Afrique (Crustaces, Asellotes)
Magniez_1997_Mem_Biospeol_24_89_96	1997	Magniez G. 1997. Reflexions sur les Asellidae et Stenasellidae d’Afrique du Nord. Memoires de Biospeologie, 24, 89-96.	Magniez G.	Memoires de Biospeologie	Reflexions sur les Asellidae et Stenasellidae d’Afrique du Nord
Magniez_1973_Int_J_Speleol_5_163_170	1973	Magniez G. 1973. Description du male de Mexistenasellus parzefalli (Crustacea Isopoda Asellota cavernicole du Mexique) et observations sur cette espece. International Journal of Speleology, 5, 163-170.	Magniez G.	International Journal of Speleology	Description du male de Mexistenasellus parzefalli (Crustacea Isopoda Asellota cavernicole du Mexique) et observations sur cette espece
Magniez_1982_Int_J_Speleol_12_1_8	1982	Magniez G. 1982. Stenasellus chapmani n. sp. Crustacea lsopoda Asellota des eaux souterraines de Borneo (Sarawak). International Journal of Speleology, 12,1-8.	Magniez G.	International Journal of Speleology	Stenasellus chapmani n. sp. Crustacea lsopoda Asellota des eaux souterraines de Borneo (Sarawak)
Magniez_1984_Mem_Biospeol_11_51_54	1984	Magniez G. 1984. Sur la biogeographie des Stenasellidae africains (Crustaces isopodes stygobies). Memoires de Biospeologie, 11, 51-54.	Magniez G.	Memoires de Biospeologie	Sur la biogeographie des Stenasellidae africains (Crustaces isopodes stygobies)
Magniez_Stock_1999_Contr_Zool_68_3_173_179	1999	Magniez G.J., Stock H.H. 1999. Consequences of the discovery of Stenasellus  (Crustacea, Isopoda, Asellota) in the underground waters of Oman (Arabian Peninsula). Contributions to Zoology., 68(3), 173-179.	Magniez G.J., Stock H.H.	Contributions to Zoology	Consequences of the discovery of Stenasellus  (Crustacea, Isopoda, Asellota) in the underground waters of Oman (Arabian Peninsula).
Magniez_1999_Crustaceana_72_8_837_848	1999	Magniez G.J. 1999. A review of the family Stenasellidae (Isopoda, Asellota, Aselloidea) of underground waters. Crustaceana, 72(8), 837-848.	Magniez G.J.	Crustaceana	A review of the family Stenasellidae (Isopoda, Asellota, Aselloidea) of underground waters
Rocha_Ramirez _et_al_2009_Rev_Mex_Biodiv_80_615_631	2009	Rocha-Ramirez A., Alvarez F., Alcocer J., Chavez-Lopez R., Escobar-Briones E. 2009. Lista anotada de los isópodos acuáticos epicontinentales de México (Crustacea: Isopoda). Revista Mexicana de Biodiversidad, 80, 615-631.	Rocha-Ramirez A., Alvarez F., Alcocer J., Chavez-Lopez R., Escobar-Briones E.	Revista Mexicana de Biodiversidad	Lista anotada de los isópodos acuáticos epicontinentales de México (Crustacea: Isopoda)
Magniez_2005_Subt_Biol_3_69_74	2005	Magniez G.J. 2005. Comments about stenasellids (Crustacea, Isopoda, Asellota) of underground waters in Asia. Subterranean Biology 3, 69-74.	Magniez G.J.	Subterranean Biology	Comments about stenasellids (Crustacea, Isopoda, Asellota) of underground waters in Asia
Mehely_1924_Zool_Anz_58_11_12_353_357	1924	Méhely L.V. 1924. Protelsonia hungarica, nov. gen., n. sp. ein blinder Isopode aus Ungarn. Zoologischer Anzeiger, 58(11-12), 353-357.	Méhely L.V.	Zoologischer Anzeiger	Protelsonia hungarica, nov. gen., n. sp. ein blinder Isopode aus Ungarn
Magniez_2000_Mem_Biospeol_27_83_87	2000	Magniez G. 2000. Redescription de Protelsonia hungarica hungarica (Crustacea, Isopoda, Asellota, Stenasellidae) et validite du genre Protelsonia. Memoires de Biospeologie, 27, 83-87.	Magniez G.	Memoires de Biospeologie	Redescription de Protelsonia hungarica hungarica (Crustacea, Isopoda, Asellota, Stenasellidae) et validite du genre Protelsonia
Monod_1972_Ann_Speleol_27_1_177_181	1972	Monod Th. 1972. Sur les localites originales de deux crustaces isopodes algeriens cavernicoles. Annales de Speleologie 27(1), 177-181.	Monod Th.	Annales de Speleologie	Sur les localites originales de deux crustaces isopodes algeriens cavernicoles
Boutin_1993_PhD_Thesis_263	1993	Boutin C. 1993. Biogeographie historique des Crustaces Malacostraces stygobies du Maroc. PhD Thesis, University Claude Bernard Lyon 1, France, 263 p.	Boutin C.	PhD Thesis, University Claude Bernard Lyon 1, France	Biogeographie historique des Crustaces Malacostraces stygobies du Maroc. , 263 p.
Bowman_1992_TMM_Speleol_Monogr_3_23_30	1992	Bowman T.E. 1992. Two subterranean aquatic isopod crustaceans new to Texas: Mexistenasellus coahuila (Cole and Minckley 1972) (Asellota: Stenasellidae) and Speocirolana hardeni, new species (Flabellifera: Cirolanidae). Texas Memorial Museum, Speleological Monographs, 3, 23-30.	Bowman T.E.	Texas Memorial Museum, Speleological Monographs	Two subterranean aquatic isopod crustaceans new to Texas: Mexistenasellus coahuila (Cole and Minckley 1972) (Asellota: Stenasellidae) and Speocirolana hardeni, new species (Flabellifera: Cirolanidae)
Magniez_1996_Mem_Biospeol_23_173_179	1996	Magniez G. 1996. Histoire des Stenasellidae ibero-aquitains (Crustacea, Isopoda, Asellota, Aselloidea). Memoires de Biospeleologie, 23, 173-179.	Magniez G.	Memoires de Biospeleologie	Histoire des Stenasellidae ibero-aquitains (Crustacea, Isopoda, Asellota, Aselloidea)
Dollfus_1897_C_R_Heb_S_Acad_Sci_125_2_130_131	1900	Dollfus A. 1897. Sur deux types nouveaux de Crustaces Isopodes appartenant à la faune souterraine des Cevennes. Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences, 125(2), 130-131.	Dollfus A.	Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences	1897. Sur deux types nouveaux de Crustaces Isopodes appartenant à la faune souterraine des Cevennes
Bakhshi_et_al_2018_Subt_Biol_26_27_38	2018	Bakhshi Y., Sadeghi S. Messana G. 2018. First record of the family Stenasellidae (Crustacea, Isopoda) in Iran with the description of a new cave-dwelling species. Subterranean Biology, 26, 27-38.	Bakhshi Y., Sadeghi S. Messana G.	Subterranean Biology	First record of the family Stenasellidae (Crustacea, Isopoda) in Iran with the description of a new cave-dwelling species
Razzauti_1925_Atti_Mem_R_Accad_Pet_Let_Art_Sci_5_1_28	1925	Razzauti A. 1925. Sopra un nuovo crostaceo troglobio italiano (Stenasellus racovitzai). Communicazione preliminare. Atti e Memorie Reale Accademia Petrarca di Lettere, Arti e Scienze (Arezzo) (Nuovo Serie), 5(1), 28.	Razzauti A.	Atti e Memorie Reale Accademia Petrarca di Lettere, Arti e Scienze (Arezzo) (Nuovo Serie	Sopra un nuovo crostaceo troglobio italiano (Stenasellus racovitzai). Communicazione preliminare
Escola_1976_Oecol_Aquat_2_121_123	1976	Escola O. 1976. Stenasellus magniezi n. sp., un isopodo nuevo de una cavidad subterranea de Cadiz. Oecologica aquatica, 2, 121-123.	Escola O.	Oecologica aquatica	Stenasellus magniezi n. sp., un isopodo nuevo de una cavidad subterranea de Cadiz
Braga_1962_An_Fac_Ciencias_Univ_Porto_84_9_28	1962	Braga J.M. 1962. Sur la distribution geographique des Stenasellus de la Peninsule Iberique. Anais da Faculdade de Ciencias Universidade do Porto, 84, 9-28.	Braga J.M.	Anais da Faculdade de Ciencias Universidade do Porto	Sur la distribution geographique des Stenasellus de la Peninsule Iberique
Magniez_2002_Crustaceana_75_3_4_485_494	2002	Magniez G. 2002. Stenasellus foresti n. sp., nouvel isopode Stenasellidae des eaux souterraines de Sumatra (Indonesie). Crustaceana, 75(3-4), 485-494.	Magniez G.	Crustaceana	Stenasellus foresti n. sp., nouvel isopode Stenasellidae des eaux souterraines de Sumatra (Indonesie)
Magniez_1987_Bull_sci_Bourg_40_1_2_53_59	1987	Magniez G. 1987. Presence de Stenasellidae (Crustaces Isopodes stygobies) a Sumatra: Stenasellus covillae n.sp. Bulletin scientifique de Bourgogne, 40(1-2), 53-59.	Magniez G.	Bulletin scientifique de Bourgogne	Presence de Stenasellidae (Crustaces Isopodes stygobies) a Sumatra: Stenasellus covillae n.sp
Lanza_et_al_1970_Mon_Zool_Ital_3_133_158	1970	Lanza B., Chelazzi L., Messana, G. 1970. Stenasellus costai sp. n., isopode freatobio gigante della Somalia. Monitore Zoologico Italiano, 3, 133-158.	Lanza B., Chelazzi L., Messana, G.	Monitore Zoologico Italiano	Stenasellus costai sp. n., isopode freatobio gigante della Somalia
Magniez_1982_Bull_sci_Bourg_35_23_27	1982	Magniez G. 1982. Nouvelles donnees sur Stenasellus chapmani (Crustace, Isopode, Asellote des eaux souterraines de Borneo). Bulletin Scientifique de Bourgogne, 35, 23-27.	Magniez G.	Bulletin Scientifique de Bourgogne	Nouvelles donnees sur Stenasellus chapmani (Crustace, Isopode, Asellote des eaux souterraines de Borneo)
Boutin_Magniez_1985_Bull_sci_Bourg_38_33_46	1985	Boutin C., Magniez G. 1985. Stenasellus cambodianus n. sp. crustace isopode asellote stygobie du Cambodge: description et observations ecologiques. Bulletin Scientifique de Bourgogne, 38, 33-46.	Boutin C., Magniez G.	Bulletin Scientifique de Bourgogne	Stenasellus cambodianus n. sp. crustace isopode asellote stygobie du Cambodge: description et observations ecologiques
Remy_1949_Bull_mens_Soc_linn_Lyon_18_7_153_157	1949	Remy P. 1949. Stenasellus Buili n.sp. de la grotte de la Giraudasso a Soulatge, Aude (Crust. Isopodes). Bulletin mensuel de la Société linnéenne de Lyon, 18(7), 153-157.	Remy P.	Bulletin mensuel de la Société linnéenne de Lyon	Stenasellus Buili n.sp. de la grotte de la Giraudasso a Soulatge, Aude (Crust. Isopodes)
Pesce_Argano_1981_Boll_Mus_Civ_St_Nat_Verona_8_435_441	1981	Pesce G.L., Argano R. 1981. Richerche nell asia sudorientale. 2. Stenasellidi del sud-est asiatico: Stenasellus brignolii n. sp. di Thailandia (Crustacea, Isopoda: Asellota). Bolletino del Museo del Civico Storia Naturale di Verona, 8, 435-441.	Pesce G.L., Argano R.	Bolletino del Museo del Civico Storia Naturale di Verona	Richerche nell asia sudorientale. 2. Stenasellidi del sud-est asiatico: Stenasellus brignolii n. sp. di Thailandia (Crustacea, Isopoda: Asellota)
Argano_1968_Fragmenta_Entomologica_6_1_1_22	1968	Argano R. 1968. Due nuovi Stenasellus di Sardegna (Crustacea, Isopoda,Asellota). Fragmenta Entomologica, 6(1), 1-22.	Argano R.	Fragmenta Entomologica	Due nuovi Stenasellus di Sardegna (Crustacea, Isopoda,Asellota)
Mestrov_1960_BioI_Glasn_13_345_350	1960	Mestrov M. 1960. Stenasellus hungaricus thermalis sp. n. (Crustacea Isopoda). Nalaz predglacijalne vrste u toplim izvorima kod Zagreba. BioIoski Glasnisk, 13, 345-350.	Mestrov M.	BioIoski Glasnisk	Stenasellus hungaricus thermalis sp. n. (Crustacea Isopoda). Nalaz predglacijalne vrste u toplim izvorima kod Zagreba
Racovitza_1924_Bul_Soc_Sti_Cluj_2_2_81_92	1924	Racovitza E.G. 1924. Diagnoses des genres Asellus et Stenasellus et description de deux Stenasellus nouveaux (note préliminaire). Buletinul Societăţii de Ştiinţe din Cluj, 2(2), 81-92.	Racovitza E.G.	Buletinul Societăţii de Ştiinţe din Cluj	Diagnoses des genres Asellus et Stenasellus et description de deux Stenasellus nouveaux (note préliminaire)
Buresch_Gueorguiev_1962_Bull_Inst_Zool_Mus_11_189_206	1962	Buresch I., Gueorguiev V. 1962. Contribution a la connaisance des especes du genre Stenasellus (Crustacea, Asellota) en Bulgarie avec description d'une nouvelle espece. Bulletin de l'Institut de Zoologie et Musee, 11, 189-206.	Buresch I., Gueorguiev V.	Bulletin de l'Institut de Zoologie et Musee	Contribution a la connaisance des especes du genre Stenasellus (Crustacea, Asellota) en Bulgarie avec description d'une nouvelle espece
Racovitza_1950_Arch_Zool_Exper_Gen_87_ 1_94	1950	Racovitza E.G. 1950. Biospelogia LXX. Asellides. Premiére Serie: Stenasellus. Archives de Zoologie Expérimentale et Générale, 87, 1-94.	Racovitza E.G.	Archives de Zoologie Expérimentale et Générale	Biospelogia LXX. Asellides. Premiére Serie: Stenasellus
Cole_Minckley_1972_Proc_Biol_Soc_Wash_84_39_313_326	1972	Cole G.A., Minckley W.L. 1972. Stenasellid isopod crustaceans in the western hemisphere - a new genus and species from Mexico - with a review of other north American freshwater isopod genera. Proceedings of the Biological Society of Washington, 84(39), 313-326.	Cole G.A., Minckley W.L.	Proceedings of the Biological Society of Washington	Stenasellid isopod crustaceans in the western hemisphere - a new genus and species from Mexico - with a review of other north American freshwater isopod genera
Alvarez_Guillen_Servent_2016_Rev_Mex_Bio_87_4_1257_1264	2016	Alvarez F., Guillen-Servent A. 2016. A new species of stygobitic isopod (Crustacea: Stenasellidae) of the genus Mexistenasellus from Veracruz, Mexico. Revista Mexicana de Biodiversidad., 87(4), 1257-1264.	Alvarez F., Guillen-Servent A.	Revista Mexicana de Biodiversidad	A new species of stygobitic isopod (Crustacea: Stenasellidae) of the genus Mexistenasellus from Veracruz, Mexico.
Lincoln_1972_Bull_Br_Mus_nal_Hist_24_3_213_221	1972	Lincoln R.J. 1972. Metastenasellus wikkiensis sp. n., from warm-water springs in north-eastern Nigeria (Asellota: Asellidae: Stenasellinae)."" Bulletin of the British Museum (Natural History) Zoology, 24, 213–221.	Lincoln R.J.	"" Bulletin of the British Museum (Natural History) Zoology	Metastenasellus wikkiensis sp. n., from warm-water springs in north-eastern Nigeria (Asellota: Asellidae: Stenasellinae)., 24, 213–
Magniez_1979._Crustaceana_37_3_265_276	1979	Magniez G. 1979. Metastenasellus powelli sp. n., a new stenasellid isopod crustacean from littoral groundwaters of southeastern Nigeria. Crustaceana, 37(3), 265-276.	Magniez G.	Crustaceana	Metastenasellus powelli sp. n., a new stenasellid isopod crustacean from littoral groundwaters of southeastern Nigeria
Magniez_1986_Stygologia_2_2_267_275	1986	Magniez G. 1986. Repartition Transsaharienne de Metastenasellus Magniez; description d'une nouvelle espece d'Algerie (Isopoda Asellota). Stygologia, 2(2), 267-275.	Magniez G.	Stygologia	Repartition Transsaharienne de Metastenasellus Magniez; description d'une nouvelle espece d'Algerie (Isopoda Asellota)
